date,county,state,fips,cases,deaths
3/24/20,Autauga,Alabama,1001,1,0
3/25/20,Autauga,Alabama,1001,4,0
3/26/20,Autauga,Alabama,1001,6,0
3/27/20,Autauga,Alabama,1001,6,0
3/28/20,Autauga,Alabama,1001,6,0
3/29/20,Autauga,Alabama,1001,6,0
3/30/20,Autauga,Alabama,1001,7,0
3/31/20,Autauga,Alabama,1001,7,0
4/1/20,Autauga,Alabama,1001,10,0
4/2/20,Autauga,Alabama,1001,10,0
4/3/20,Autauga,Alabama,1001,12,0
4/4/20,Autauga,Alabama,1001,12,0
4/5/20,Autauga,Alabama,1001,12,0
4/6/20,Autauga,Alabama,1001,12,1
4/7/20,Autauga,Alabama,1001,12,1
4/8/20,Autauga,Alabama,1001,12,1
4/9/20,Autauga,Alabama,1001,17,1
4/10/20,Autauga,Alabama,1001,17,1
4/11/20,Autauga,Alabama,1001,19,1
4/12/20,Autauga,Alabama,1001,19,1
4/13/20,Autauga,Alabama,1001,19,1
4/14/20,Autauga,Alabama,1001,23,1
4/15/20,Autauga,Alabama,1001,25,1
4/16/20,Autauga,Alabama,1001,25,2
4/17/20,Autauga,Alabama,1001,26,2
4/18/20,Autauga,Alabama,1001,25,2
4/19/20,Autauga,Alabama,1001,27,2
4/20/20,Autauga,Alabama,1001,28,1
4/21/20,Autauga,Alabama,1001,30,1
4/22/20,Autauga,Alabama,1001,32,2
4/23/20,Autauga,Alabama,1001,33,2
4/24/20,Autauga,Alabama,1001,36,2
4/25/20,Autauga,Alabama,1001,37,2
4/26/20,Autauga,Alabama,1001,37,2
4/27/20,Autauga,Alabama,1001,39,3
4/28/20,Autauga,Alabama,1001,40,4
4/29/20,Autauga,Alabama,1001,43,4
4/30/20,Autauga,Alabama,1001,42,4
3/14/20,Baldwin,Alabama,1003,1,0
3/15/20,Baldwin,Alabama,1003,1,0
3/16/20,Baldwin,Alabama,1003,1,0
3/17/20,Baldwin,Alabama,1003,1,0
3/18/20,Baldwin,Alabama,1003,1,0
3/19/20,Baldwin,Alabama,1003,1,0
3/20/20,Baldwin,Alabama,1003,2,0
3/21/20,Baldwin,Alabama,1003,2,0
3/22/20,Baldwin,Alabama,1003,2,0
3/23/20,Baldwin,Alabama,1003,3,0
3/24/20,Baldwin,Alabama,1003,4,0
