import,fips,county_full,state_fips,county_fips,county,state
01000        Alabama,1000,Alabama,1,0,Alabama,Alabama
01001        Autauga County,1001,Autauga County,1,1,Autauga,Alabama
01003        Baldwin County,1003,Baldwin County,1,3,Baldwin,Alabama
01005        Barbour County,1005,Barbour County,1,5,Barbour,Alabama
01007        Bibb County,1007,Bibb County,1,7,"Bibb ",Alabama
01009        Blount County,1009,Blount County,1,9,Blount,Alabama
01011        Bullock County,1011,Bullock County,1,11,Bullock,Alabama
01013        Butler County,1013,Butler County,1,13,Butler,Alabama
01015        Calhoun County,1015,Calhoun County,1,15,Calhoun,Alabama
01017        Chambers County,1017,Chambers County,1,17,Chambers,Alabama
01019        Cherokee County,1019,Cherokee County,1,19,Cherokee,Alabama
01021        Chilton County,1021,Chilton County,1,21,Chilton,Alabama
01023        Choctaw County,1023,Choctaw County,1,23,Choctaw,Alabama
01025        Clarke County,1025,Clarke County,1,25,Clarke,Alabama
01027        Clay County,1027,Clay County,1,27,Clay,Alabama
01029        Cleburne County,1029,Cleburne County,1,29,Cleburne,Alabama
01031        Coffee County,1031,Coffee County,1,31,Coffee,Alabama
01033        Colbert County,1033,Colbert County,1,33,Colbert,Alabama
01035        Conecuh County,1035,Conecuh County,1,35,Conecuh,Alabama
01037        Coosa County,1037,Coosa County,1,37,Coosa,Alabama
01039        Covington County,1039,Covington County,1,39,Covington,Alabama
01041        Crenshaw County,1041,Crenshaw County,1,41,Crenshaw,Alabama
01043        Cullman County,1043,Cullman County,1,43,Cullman,Alabama
01045        Dale County,1045,Dale County,1,45,Dale,Alabama
01047        Dallas County,1047,Dallas County,1,47,Dallas,Alabama
01049        DeKalb County,1049,DeKalb County,1,49,DeKalb,Alabama
01051        Elmore County,1051,Elmore County,1,51,Elmore,Alabama
01053        Escambia County,1053,Escambia County,1,53,Escambia,Alabama
01055        Etowah County,1055,Etowah County,1,55,Etowah,Alabama
01057        Fayette County,1057,Fayette County,1,57,Fayette,Alabama
01059        Franklin County,1059,Franklin County,1,59,Franklin,Alabama
01061        Geneva County,1061,Geneva County,1,61,Geneva,Alabama
01063        Greene County,1063,Greene County,1,63,Greene,Alabama
01065        Hale County,1065,Hale County,1,65,Hale,Alabama
01067        Henry County,1067,Henry County,1,67,Henry,Alabama
01069        Houston County,1069,Houston County,1,69,Houston,Alabama
01071        Jackson County,1071,Jackson County,1,71,Jackson,Alabama
01073        Jefferson County,1073,Jefferson County,1,73,Jefferson,Alabama
01075        Lamar County,1075,Lamar County,1,75,Lamar,Alabama
01077        Lauderdale County,1077,Lauderdale County,1,77,Lauderdale,Alabama
01079        Lawrence County,1079,Lawrence County,1,79,Lawrence,Alabama
