county,state,fips,cases_since_01212020,deaths_since_01212020,death_rate,high_chance_of_death_10pct,high_chance_of_death_5pct
Adams,Nebraska,31001,2206,18,0.815956482,0,0
Addison,Vermont,50001,1703,32,1.879036994,0,0
Alameda,California,6001,33257,1032,3.103106113,0,0
Alamosa,Colorado,8003,221,44,19.90950226,1,1
Albany,Wyoming,56001,167,0,0,0,0
Alcona,Michigan,26001,45,1,2.222222222,0,0
Alexander,Illinois,17003,32,0,0,0,0
Alleghany,North Carolina,37005,66,0,0,0,0
Allen,Indiana,18003,7552,507,6.71345339,0,1
Allen,Ohio,39003,1784,237,13.28475336,1,1
Allendale,South Carolina,45005,153,8,5.22875817,0,1
Amelia,Virginia,51007,331,10,3.021148036,0,0
Andrews,Texas,48003,404,0,0,0,0
Apache,Arizona,4001,4890,97,1.983640082,0,0
Appanoose,Iowa,19007,51,39,76.47058824,1,1
Aransas,Texas,48007,54,0,0,0,0
Archuleta,Colorado,8007,185,0,0,0,0
Arlington,Virginia,51013,15114,426,2.818578801,0,0
Armstrong,Pennsylvania,42005,912,34,3.728070175,0,0
Armstrong,Texas,48011,23,0,0,0,0
Ashley,Arkansas,5003,297,0,0,0,0
Ashtabula,Ohio,39007,1661,130,7.826610476,0,1
Assumption,Louisiana,22007,3721,42,1.128728836,0,0
Atchison,Missouri,29005,52,0,0,0,0
Atkinson,Georgia,13003,118,2,1.694915254,0,0
Atoka,Oklahoma,40005,29,0,0,0,0
Aurora,South Dakota,46003,35,0,0,0,0
Bacon,Georgia,13005,469,15,3.198294243,0,0
Ballard,Kentucky,21007,95,0,0,0,0
Bannock,Idaho,16005,177,0,0,0,0
Barbour,Alabama,1005,506,2,0.395256917,0,0
Barnwell,South Carolina,45011,214,0,0,0,0
Barrow,Georgia,13013,2261,101,4.467049978,0,0
Barton,Kansas,20009,174,0,0,0,0
Bates,Missouri,29013,165,18,10.90909091,1,1
Baxter,Arkansas,5005,136,0,0,0,0
Bay,Florida,12005,1361,45,3.306392359,0,0
Bay,Michigan,26017,2170,45,2.073732719,0,0
Beaverhead,Montana,30001,27,0,0,0,0
Bedford,Tennessee,47003,1984,38,1.915322581,0,0
Belmont,Ohio,39013,1974,98,4.964539007,0,0
Ben Hill,Georgia,13017,402,0,0,0,0
Benton,Washington,53005,8898,896,10.06967858,1,1
Berkeley,South Carolina,45015,3289,100,3.040437823,0,0
Berkeley,West Virginia,54003,2950,16,0.542372881,0,0
Bibb,Georgia,13021,4437,85,1.915708812,0,0
Blaine,Idaho,16013,14419,143,0.991747,0,0
Bollinger,Missouri,29017,89,0,0,0,0
Boone,Iowa,19015,149,0,0,0,0
Bowie,Texas,48037,1799,149,8.282379099,0,1
Bradford,Pennsylvania,42015,631,52,8.24088748,0,1
Branch,Michigan,26023,948,48,5.063291139,0,1
Brantley,Georgia,13025,378,38,10.05291005,1,1
Brazos,Texas,48041,4553,361,7.928838129,0,1
Bristol,Massachusetts,25005,51398,2099,4.083816491,0,0
Bristol,Rhode Island,44001,1891,0,0,0,0
Bristol city,Virginia,51520,35,0,0,0,0
Broadwater,Montana,30007,142,0,0,0,0
Brooke,West Virginia,54009,67,0,0,0,0
Brooks,Georgia,13027,740,92,12.43243243,1,1
Brooks,Texas,48047,9,0,0,0,0
Brown,Texas,48049,417,26,6.23501199,0,1
Brule,South Dakota,46015,6,0,0,0,0
Brunswick,North Carolina,37019,1106,56,5.063291139,0,1
Buchanan,Iowa,19019,264,0,0,0,0
Buena Vista city,Virginia,51530,121,0,0,0,0
Buffalo,South Dakota,46017,3,0,0,0,0
Bulloch,Georgia,13031,656,31,4.725609756,0,0
Buncombe,North Carolina,37021,1331,75,5.634861007,0,1
Burke,Georgia,13033,1214,50,4.118616145,0,0
Burke,North Carolina,37023,1728,132,7.638888889,0,1
Burleigh,North Dakota,38015,1916,0,0,0,0
Burlington,New Jersey,34005,42522,1498,3.522882273,0,0
Butler,Kansas,20015,356,0,0,0,0
Butler,Nebraska,31023,21,0,0,0,0
Butler,Pennsylvania,42019,4376,138,3.153564899,0,0
Butte,California,6007,481,0,0,0,0
Butts,Georgia,13035,1847,34,1.840822956,0,0
Cabell,West Virginia,54011,755,0,0,0,0
Cache,Utah,49005,1030,0,0,0,0
Caddo,Louisiana,22017,33494,1694,5.057622261,0,1
Caldwell,North Carolina,37027,576,0,0,0,0
