state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
1,1,58786,12,14.6,7.1,0.1,93.985346015
1,3,55962,7.3,19.5,10.2,0.1,140.41440206
1,5,34186,21.5,18,11.2,0.3,27.89353269
1,7,45340,10.5,16.3,7.9,0.5,35.976529818
1,9,48695,10.2,17.8,11,0.1,89.676246572
1,11,32152,31,15.6,10.8,0,16.218372794
1,13,39109,18.9,19,10.2,0,25.034802814
1,15,45197,14.6,16.8,9.4,0.3,187.50731202
1,17,39872,11.3,18.9,10.8,0.2,55.74284076
1,19,41014,12.5,21.7,8.3,0.2,47.325768735
1,21,45182,15.3,15.8,14.2,0,64.123408689
1,23,34884,17.8,22.1,11.4,0,13.781552293
1,25,36127,18.4,19,10.8,0.1,19.074297415
1,27,41225,14.8,19.8,10.2,0,21.913665329
1,29,40188,12,18.8,12.8,0,26.620035223
1,31,53155,11.6,16.3,10.1,0,77.088467615
1,33,47558,12.6,19.3,8.1,0.1,93.1952259
1,35,33177,17.4,21.6,14.5,0.2,14.193130658
1,37,38301,8.7,21.8,7.8,0.5,16.38166426
1,39,40601,13.8,20.5,11.2,0,35.950408623
1,41,39812,10.3,18.3,10,0.5,22.619139114
1,43,42558,11.7,18,11.8,0.1,114.01021653
1,45,45960,13.5,16.1,11.4,0,87.634864447
1,47,31602,24.8,16.8,12,0,38.004042961
1,49,39233,17,16.3,14.5,0.1,92.025625422
1,51,59347,9.8,14.5,8.2,0.1,131.3112898
1,53,35000,17.9,17.3,15.5,0,38.755951378
1,55,44023,13.4,18.3,10.4,0.2,191.12364467
1,57,37458,15,20.5,8.8,0,25.971679091
1,59,40459,14.8,16.2,12.8,0.2,49.473233808
1,61,38142,17.8,19.4,13.7,0,45.730009764
1,63,21804,33.4,20.4,11.4,0,12.535873955
1,65,30571,20.1,18.3,8.8,0.1,22.75047109
1,67,48610,10.7,21.6,11.4,0,30.627485171
1,69,45496,14,16.9,10.4,0.1,182.60057248
1,71,39816,16.5,19.1,9.6,0,47.891104629
1,73,51979,13.2,15,9.5,0.9,592.55351575
1,75,36756,15.2,21.1,9.4,0.7,22.823980559
1,77,46265,10.5,19.3,9.1,0,138.81313278
1,79,44515,13.4,17.4,8.2,0.1,47.668661758
1,81,48056,12.8,11.1,7.9,0.7,270.83432209
1,83,56460,10.2,14.7,9.6,0.2,176.64798277
1,85,30833,23.4,17.9,9.2,0.4,13.58548408
1,87,32074,19.8,18.6,8.1,0.5,29.676718491
1,89,63417,9.6,14.3,8.9,0.2,465.21086205
1,91,32809,13.1,18.9,9.6,0,19.309184104
1,93,35392,13.1,20.8,10.5,0.1,40.020627603
1,95,42490,16.2,16.8,13.1,0.5,171.02562219
1,97,46166,15,15.3,11.6,0.5,336.10418322
1,99,30141,23.1,18.9,13.4,0.7,20.214129306
1,101,47990,16.3,14.2,10.5,0.5,288.39277018
1,103,49751,12.5,16.7,10.2,0.4,206.48553652
1,105,23561,31.7,18.6,12.7,0,12.39897807
1,107,37458,17.5,18.4,8.5,0.1,22.613154415
1,109,34678,14.9,14.6,9.6,0.1,49.271815027
1,111,41449,14.3,20,10.5,0.1,39.138789293
1,113,40978,15.4,13.4,13.4,0.2,90.398784224
1,115,54887,10,15.9,8.8,0.2,141.72690747
1,117,75761,5.1,14.3,6.8,0,277.19182547
1,119,23132,21.3,16.9,15.5,0.4,13.749325385
1,121,41012,15.8,17.1,9.3,0.4,108.54834994
1,123,43361,16,20.4,8.1,0.1,56.337434921
1,125,52221,11.2,12.5,7.5,0.3,158.49907988
1,127,41748,14.3,18.6,11,0.2,80.30445929
1,129,40794,16.3,18.3,9.6,0,15.113785233
1,131,27237,20.9,18.4,11.6,0.3,11.675388474
1,133,38504,12.4,21.1,12.3,0.4,38.547672328
2,13,69706,12.5,8.8,45.6,0.1,0.4777265018
2,16,85517,5.6,5.8,18.8,0.7,1.2820721486
2,20,83280,6.1,10,12.2,1.6,168.73682383
2,50,54212,24.9,7.1,20.7,0.5,0.4525158466
2,60,84688,2.4,9.6,19.8,0.6,1.7345095993
2,68,84196,2.8,7.3,19.2,0.5,0.1659417972
2,70,58750,16.1,8.6,22.4,0.9,0.2681702055
2,90,77095,5,9.2,10,1,13.213430298
2,100,64342,8,24.4,15.5,0.2,1.0791088078
2,105,63603,7.5,19.5,25.1,1.7,0.3276151563
2,110,88213,4.4,12,11.1,5,11.824810464
2,122,66684,7.8,15.6,17.2,0.7,3.6639393785
2,130,70356,7.4,14.1,13.2,3.6,2.8620987247
2,150,78281,9.5,9.1,20.3,0,1.964820172
2,158,35539,39,5.6,21.1,0.1,0.4869330114
2,164,46406,13.7,7.9,31.6,0.3,0.0665977157
2,170,75905,7.3,10.7,15.2,0.8,4.3827989138
2,180,58987,20.3,7.5,22.5,0.4,0.4355242355
2,185,75431,9.6,6.4,20.8,2.7,0.1106902495
2,188,62949,21.8,7.7,27.6,0.2,0.2136891191
2,195,66907,6.9,21.5,9.1,0.9,1.1259529785
2,198,54191,10.9,14.8,25.9,1.4,1.1784333295
2,220,71534,3.4,14.5,18.3,1,2.9592176606
2,230,72237,4,11.3,18.9,0.7,2.7262276648
2,240,71541,7.6,12.9,15.6,0.4,0.2776884175
2,261,82306,8.1,12.4,15.7,0.7,0.268892447
2,275,57583,4,22.1,15,0.7,0.9788750597
2,282,65833,2.2,12.3,20.5,0.3,0.0759515757
2,290,40000,20,13.6,29.2,0.5,0.0359263713
4,1,32963,28.2,14.6,23.5,1.1,6.4197724403
