fips,state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
1001,1,1,58786,12,14.6,7.1,0.1,93.98534602
1003,1,3,55962,7.3,19.5,10.2,0.1,140.4144021
1005,1,5,34186,21.5,18,11.2,0.3,27.89353269
1007,1,7,45340,10.5,16.3,7.9,0.5,35.97652982
1009,1,9,48695,10.2,17.8,11,0.1,89.67624657
1011,1,11,32152,31,15.6,10.8,0,16.21837279
1013,1,13,39109,18.9,19,10.2,0,25.03480281
1015,1,15,45197,14.6,16.8,9.4,0.3,187.507312
1017,1,17,39872,11.3,18.9,10.8,0.2,55.74284076
1019,1,19,41014,12.5,21.7,8.3,0.2,47.32576874
1021,1,21,45182,15.3,15.8,14.2,0,64.12340869
1023,1,23,34884,17.8,22.1,11.4,0,13.78155229
1025,1,25,36127,18.4,19,10.8,0.1,19.07429742
1027,1,27,41225,14.8,19.8,10.2,0,21.91366533
1029,1,29,40188,12,18.8,12.8,0,26.62003522
1031,1,31,53155,11.6,16.3,10.1,0,77.08846762
1033,1,33,47558,12.6,19.3,8.1,0.1,93.1952259
1035,1,35,33177,17.4,21.6,14.5,0.2,14.19313066
1037,1,37,38301,8.7,21.8,7.8,0.5,16.38166426
1039,1,39,40601,13.8,20.5,11.2,0,35.95040862
1041,1,41,39812,10.3,18.3,10,0.5,22.61913911
1043,1,43,42558,11.7,18,11.8,0.1,114.0102165
1045,1,45,45960,13.5,16.1,11.4,0,87.63486445
1047,1,47,31602,24.8,16.8,12,0,38.00404296
1049,1,49,39233,17,16.3,14.5,0.1,92.02562542
1051,1,51,59347,9.8,14.5,8.2,0.1,131.3112898
1053,1,53,35000,17.9,17.3,15.5,0,38.75595138
1055,1,55,44023,13.4,18.3,10.4,0.2,191.1236447
1057,1,57,37458,15,20.5,8.8,0,25.97167909
1059,1,59,40459,14.8,16.2,12.8,0.2,49.47323381
1061,1,61,38142,17.8,19.4,13.7,0,45.73000976
1063,1,63,21804,33.4,20.4,11.4,0,12.53587396
1065,1,65,30571,20.1,18.3,8.8,0.1,22.75047109
1067,1,67,48610,10.7,21.6,11.4,0,30.62748517
1069,1,69,45496,14,16.9,10.4,0.1,182.6005725
1071,1,71,39816,16.5,19.1,9.6,0,47.89110463
1073,1,73,51979,13.2,15,9.5,0.9,592.5535158
1075,1,75,36756,15.2,21.1,9.4,0.7,22.82398056
1077,1,77,46265,10.5,19.3,9.1,0,138.8131328
1079,1,79,44515,13.4,17.4,8.2,0.1,47.66866176
1081,1,81,48056,12.8,11.1,7.9,0.7,270.8343221
1083,1,83,56460,10.2,14.7,9.6,0.2,176.6479828
1085,1,85,30833,23.4,17.9,9.2,0.4,13.58548408
1087,1,87,32074,19.8,18.6,8.1,0.5,29.67671849
1089,1,89,63417,9.6,14.3,8.9,0.2,465.2108621
1091,1,91,32809,13.1,18.9,9.6,0,19.3091841
1093,1,93,35392,13.1,20.8,10.5,0.1,40.0206276
1095,1,95,42490,16.2,16.8,13.1,0.5,171.0256222
1097,1,97,46166,15,15.3,11.6,0.5,336.1041832
1099,1,99,30141,23.1,18.9,13.4,0.7,20.21412931
1101,1,101,47990,16.3,14.2,10.5,0.5,288.3927702
