median_household_income,state,county
30834,28,151
39007,28,111
37203,28,019
40510,28,057
43060,28,015
36877,28,043
20188,28,063
49447,28,041
41572,28,093
25510,28,119
29912,28,011
58188,28,073
47978,28,081
30910,28,113
30028,28,135
41657,28,129
44883,28,131
43039,28,149
39246,28,023
28176,28,069
33667,28,097
38800,28,105
45820,28,109
33482,28,079
36000,28,103
36875,28,099
64557,28,121
51056,28,137
42290,28,077
36563,28,107
41864,28,161
35939,28,017
40361,28,029
48319,28,039
43005,28,049
33831,28,101
41287,28,145
28799,28,125
39839,28,139
40675,28,035
47543,28,045
47132,28,071
25776,28,055
45355,28,087
26052,28,083
26599,28,157
45566,28,047
30083,28,065
40355,28,085
33735,28,123
36214,28,159
31402,28,163
35974,28,009
40810,28,037
35931,28,061
41263,28,067
40940,28,095
30029,28,133
40683,28,155
29203,28,001
35121,28,025
35931,28,031
28507,28,053
41322,29,123
32752,29,229
43379,29,217
43201,29,195
43349,29,147
46992,29,041
42574,29,079
37727,29,141
34391,29,223
42985,29,017
51730,29,031
44051,29,205
47421,29,225
48385,29,005
46186,29,013
38028,29,015
39415,29,035
39979,29,057
43642,29,115
36143,29,091
53056,29,101
46192,29,105
44436,29,125
42846,29,161
76912,29,165
45774,29,187
55683,29,003
42149,29,033
50380,29,061
40383,29,103
46762,29,127
58476,29,151
33343,29,181
57948,29,219
43761,29,007
57019,29,043
44808,29,077
40168,29,081
38470,29,185
40046,29,001
42965,29,199
42604,29,211
47955,29,045
63030,29,099
47764,29,111
35399,29,143
54964,29,157
55546,29,173
59857,29,177
65300,29,189
46443,29,209
41463,29,009
54043,29,019
39412,29,039
38036,29,055
37188,29,093
47885,29,117
54828,29,135
32534,29,149
44382,29,159
56234,29,186
46610,29,175
34186,29,069
55312,29,071
50372,29,089
52805,29,095
42718,29,131
51665,29,169
37367,29,171
41487,29,213
35277,29,215
50457,29,021
48033,29,025
55376,29,027
67659,29,037
58510,29,049
48750,29,053
41551,29,059
42689,29,075
36190,29,085
61628,29,113
32846,29,133
43973,29,137
49023,29,145
32601,29,153
45753,29,163
81411,29,183
55841,30,017
47141,30,041
52457,30,075
49194,30,067
42904,30,085
38083,30,005
47419,30,051
67272,30,083
51862,30,099
46823,30,101
60750,30,025
54750,30,019
45764,30,045
42237,30,093
41783,30,023
66867,30,043
47500,30,055
41186,30,107
56549,30,087
44196,30,011
59820,30,021
56469,30,007
45488,30,047
45458,30,073
59117,30,111
48930,30,081
55882,30,105
50327,30,027
41905,30,061
44688,30,069
36984,30,089
50202,30,109
43109,30,059
57538,30,009
52966,30,029
46222,30,071
51536,31,001
58009,31,109
54063,31,011
52604,31,149
59625,31,007
51172,31,163
48096,31,147
54399,31,093
57468,31,089
47989,31,065
62545,31,073
51143,31,151
79549,31,153
48149,31,173
70753,31,177
50729,31,015
53684,31,031
53101,31,053
55625,31,059
44471,31,069
39115,31,091
45121,31,123
51922,31,127
67591,31,159
50682,31,171
55017,31,043
42298,31,181
48716,31,003
55562,31,023
56316,31,035
49891,31,041
51662,31,067
64042,31,081
56952,31,099
48901,31,101
52857,31,119
62469,31,135
66718,31,155
62623,31,179
49688,31,103
49752,31,107
56794,31,111
56620,31,139
46875,31,165
71139,31,025
56775,31,051
44350,31,057
47128,31,077
54742,31,079
54828,31,131
46859,31,145
51748,31,045
56538,31,033
53769,31,047
48882,31,117
45833,31,125
62687,31,167
55170,31,175
50344,31,083
50870,31,009
56952,31,019
48500,31,049
42902,31,087
62617,31,141
50734,31,169
56412,31,013
51514,32,001
62503,32,005
50846,32,027
40000,32,009
70373,32,013
41163,32,021
62993,32,033
77209,32,007
56414,32,017
45711,32,023
62284,32,029
61155,32,031
56802,32,003
52034,32,510
55493,32,019
63057,33,005
72478,33,013
63153,33,009
90429,33,015
68368,33,001
60780,33,019
78655,33,011
70650,33,017
45696,33,007
61116,33,003
95699,34,025
90520,34,037
52593,34,011
59302,34,013
68021,34,029
85160,34,015
64309,34,033
66476,34,031
67118,34,007
95837,34,003
78145,34,041
66289,34,017
84992,34,005
111316,34,027
-888888888,35,039
31660,35,047
37218,35,057
42752,35,035
37368,35,006
24085,35,019
42480,35,003
27377,35,029
31674,35,031
36758,35,055
37880,35,017
33783,35,007
62982,35,015
26968,35,033
27075,35,037
42267,35,027
59797,35,025
59192,35,049
30451,35,051
36146,35,053
39164,35,013
53989,36,095
59225,36,067
55178,36,019
54695,36,099
102186,36,079
51696,36,033
63359,36,069
64987,36,081
51789,36,101
57552,36,041
54114,36,115
45332,36,013
56015,36,047
82459,36,061
60736,36,107
56579,36,011
51843,36,073
80839,36,091
91108,36,087
63032,36,021
52380,36,049
54085,36,063
92758,36,119
48827,36,025
56196,36,031
45837,36,057
111240,36,059
79267,36,085
51479,36,097
58743,36,109
50595,36,017
54489,36,023
52268,36,045
53844,36,065
96675,36,103
57914,36,121
53299,36,015
53597,36,075
53121,36,077
55765,36,117
64535,36,001
50859,36,007
55673,36,029
60228,36,053
56256,36,105
59338,36,037
76716,36,071
38306,37,079
44186,37,121
42621,37,041
42072,37,027
51157,37,035
50870,37,049
35516,37,065
51630,37,085
52815,37,089
45466,37,095
64312,37,119
35499,37,131
48667,37,159
37282,37,181
66284,37,053
75397,37,179
50128,37,067
48362,37,127
32378,37,017
58012,37,055
35962,37,185
42850,37,195
33143,37,015
52205,37,073
36525,37,075
39205,37,117
42410,37,115
44947,37,137
45915,37,143
48834,37,149
45006,37,151
42490,37,157
46169,37,169
35512,37,187
63349,37,029
38801,37,043
45716,37,051
49384,37,071
51072,37,081
44028,37,099
57899,37,125
33679,37,155
49590,37,167
76956,37,183
39888,37,199
63531,37,037
40913,37,111
56842,37,101
36892,37,103
48811,37,145
54406,37,019
40978,37,009
43688,37,013
38387,37,107
53318,37,109
49491,37,133
68211,37,135
40347,37,161
39068,37,163
42876,37,197
38134,37,011
42516,37,023
43961,37,033
57611,37,059
38850,37,061
58190,37,063
48873,37,105
52716,37,129
42192,37,191
35617,37,165
34251,37,083
45735,37,001
74931,38,013
70678,38,061
86575,38,105
92604,38,007
57734,38,043
67591,38,019
50962,38,037
64962,38,067
65848,38,091
56761,38,041
59426,38,045
67584,38,059
62031,38,017
70500,38,025
51029,38,029
50739,38,051
48798,38,063
61990,38,077
39884,38,079
54414,38,099
54875,38,001
59882,38,009
57064,38,003
51563,38,027
51951,38,035
80732,38,053
79890,38,057
65648,38,055
48802,38,069
61810,38,073
40862,38,085
65063,38,011
56087,38,033
58144,38,047
53696,38,095
57642,38,093
60074,38,023
60613,38,031
67200,38,081
63942,38,087
75708,38,089
42113,39,053
51559,39,077
37778,39,009
36894,39,001
74243,39,103
82775,39,159
57103,39,021
51933,39,125
67109,39,057
58762,39,049
45464,39,101
41731,39,115
56348,39,169
52940,39,175
63358,39,017
48462,39,067
55131,39,083
47346,39,139
42114,39,163
55644,39,063
66175,39,045
57665,39,039
59083,39,069
44819,39,081
62001,39,137
51354,39,027
46478,39,047
62214,39,129
55150,39,091
55448,39,153
51701,39,143
61042,39,149
53354,27,033
97744,27,139
71669,27,039
65138,27,157
52309,27,117
54508,27,035
55206,27,107
81881,27,171
65027,27,103
60676,27,041
55912,27,051
57112,27,069
67451,27,079
44537,27,087
80409,27,025
53230,27,127
56943,27,173
52872,27,153
47410,27,007
55861,27,013
58729,27,055
52199,27,073
49068,27,077
57131,27,111
55612,27,161
53344,27,137
79923,27,003
60606,27,145
52301,27,081
58723,27,089
53888,27,095
92376,27,163
60390,27,017
53300,27,065
47129,27,071
54962,27,097
65758,27,131
62731,27,147
56588,27,125
45989,27,001
52286,27,043
57500,27,101
59089,27,067
59516,27,075
59890,27,133
62761,27,143
48784,27,155
59278,27,005
74113,27,053
57728,27,015
54552,27,023
46291,27,029
55472,27,057
72473,27,059
53915,27,091
53665,27,099
49138,27,115
74880,27,109
45860,27,159
56357,27,009
52447,27,047
61275,27,085
58132,27,121
58363,27,149
48577,27,151
21093,28,051
31854,28,005
36440,28,013
37312,28,141
37970,28,153
65365,48,015
36125,48,261
55048,48,355
49504,48,089
55229,48,409
49872,48,379
67397,48,381
34813,48,385
44698,48,411
55677,48,413
59286,48,431
30988,48,507
55469,48,057
70087,48,065
46354,48,155
48731,48,161
60492,48,175
47500,48,193
42238,48,197
49670,48,335
42647,48,045
53021,48,285
44975,48,445
53194,48,243
32049,48,247
77416,48,339
51250,48,111
42293,48,479
66563,48,011
45000,48,069
42021,48,273
29944,48,489
37899,48,107
46827,48,151
37382,48,131
63071,48,031
46088,48,241
31468,48,271
51841,48,117
69369,48,167
51792,48,283
73854,48,393
43936,48,457
49352,48,483
47505,48,037
43894,48,043
45926,48,263
53511,48,423
51152,48,105
59105,48,199
51528,48,227
44818,48,289
51774,48,337
51569,48,365
60445,49,027
56877,49,053
48269,49,025
48673,49,019
49886,49,033
77449,49,051
59937,49,003
46809,49,021
53020,49,041
64636,49,057
63919,49,013
44680,49,037
71230,49,035
66736,49,047
81250,49,009
79690,49,011
44694,49,055
50278,49,007
52055,49,015
89274,49,029
56840,49,005
52337,49,017
62237,49,023
54973,50,021
47915,50,019
69583,50,013
60159,50,017
69896,50,007
60365,50,015
58303,50,027
49348,50,005
52659,50,025
65093,50,001
62108,50,023
40978,51,185
124796,51,610
80667,51,685
96831,51,735
45801,51,183
45738,51,820
43028,51,770
57185,51,775
49146,51,710
39212,51,037
121133,51,059
44534,51,081
83048,51,095
39482,51,167
40425,51,173
36466,51,678
50258,51,031
36683,51,089
87321,51,099
50739,51,103
32718,51,105
67009,51,115
51917,51,119
67001,51,149
59817,51,165
39144,51,169
54844,51,181
56176,51,011
52639,51,067
54516,51,097
54641,51,121
79698,51,127
46221,51,049
89741,51,075
42289,51,083
54197,51,113
103445,51,153
54611,51,175
46147,51,091
41927,51,025
64715,51,033
66701,51,073
43553,51,131
40486,51,141
83914,51,145
54805,51,163
54921,51,171
97469,51,061
59192,51,036
73116,51,047
55880,51,053
64979,51,079
88652,51,085
