pct_households_below_poverty,state,county
28.1,28,151
13.6,28,111
16.2,28,019
11.5,28,057
11.4,28,015
18.4,28,043
42.7,28,063
10.6,28,041
14.2,28,093
25.6,28,119
27.9,28,011
11.2,28,073
12.1,28,081
27.8,28,113
25.2,28,135
13.1,28,129
12.7,28,131
17.4,28,149
15.2,28,023
22.8,28,069
23.5,28,097
16.5,28,105
12.9,28,109
19.8,28,079
27.2,28,103
19.0,28,099
5.5,28,121
18.3,28,137
15.2,28,077
16.3,28,107
11.5,28,161
18.7,28,017
19.0,28,029
9.4,28,039
17.0,28,049
20.7,28,101
12.3,28,145
17.0,28,125
13.3,28,139
18.2,28,035
16.0,28,045
11.9,28,071
37.5,28,055
18.2,28,087
34.5,28,083
26.9,28,157
16.5,28,047
21.5,28,065
17.2,28,085
21.8,28,123
18.6,28,159
26.3,28,163
21.5,28,009
14.0,28,037
19.9,28,061
16.6,28,067
12.5,28,095
25.8,28,133
20.9,28,155
31.0,28,001
19.5,28,025
20.9,28,031
27.9,28,053
11.1,29,123
19.6,29,229
7.3,29,217
10.0,29,195
13.3,29,147
7.5,29,041
11.3,29,079
17.3,29,141
15.4,29,223
12.3,29,017
9.0,29,031
10.0,29,205
12.0,29,225
6.3,29,005
8.4,29,013
12.1,29,015
12.3,29,035
14.5,29,057
11.7,29,115
16.4,29,091
7.6,29,101
11.8,29,105
8.5,29,125
14.1,29,161
4.5,29,165
11.4,29,187
6.0,29,003
11.3,29,033
8.1,29,061
12.9,29,103
13.2,29,127
2.7,29,151
20.7,29,181
9.1,29,219
10.8,29,007
6.8,29,043
11.2,29,077
15.1,29,081
11.1,29,185
11.3,29,001
10.7,29,199
10.5,29,211
8.3,29,045
7.7,29,099
8.5,29,111
19.2,29,143
6.6,29,157
8.0,29,173
9.3,29,177
6.7,29,189
8.0,29,209
14.5,29,009
9.2,29,019
12.1,29,039
14.7,29,055
16.8,29,093
12.5,29,117
8.6,29,135
17.4,29,149
12.4,29,159
13.0,29,186
10.6,29,175
20.7,29,069
8.0,29,071
9.4,29,089
11.0,29,095
13.0,29,131
11.2,29,169
14.8,29,171
12.4,29,213
16.6,29,215
12.6,29,021
9.6,29,025
9.6,29,027
7.1,29,037
9.3,29,049
7.4,29,053
13.3,29,059
12.2,29,075
12.6,29,085
9.6,29,113
22.0,29,133
9.6,29,137
9.8,29,145
18.2,29,153
10.5,29,163
3.7,29,183
6.4,30,017
15.1,30,041
7.8,30,075
6.0,30,067
23.6,30,085
23.1,30,005
8.3,30,051
3.3,30,083
6.1,30,099
12.2,30,101
6.8,30,025
2.5,30,019
9.0,30,045
12.1,30,093
12.4,30,023
5.8,30,043
6.0,30,055
13.6,30,107
11.9,30,087
8.3,30,011
4.9,30,021
3.1,30,007
14.7,30,047
16.3,30,073
6.8,30,111
8.5,30,081
7.1,30,105
8.5,30,027
11.6,30,061
10.0,30,069
12.8,30,089
11.8,30,109
5.7,30,059
6.5,30,009
6.7,30,029
9.2,30,071
7.7,31,001
8.1,31,109
3.5,31,011
4.5,31,149
5.2,31,007
9.1,31,163
7.4,31,147
7.5,31,093
4.1,31,089
7.2,31,065
3.3,31,073
10.2,31,151
3.6,31,153
21.7,31,173
6.3,31,177
6.6,31,015
5.9,31,031
8.5,31,053
9.0,31,059
5.6,31,069
9.6,31,091
4.3,31,123
8.5,31,127
4.1,31,159
8.1,31,171
13.9,31,043
8.7,31,181
8.8,31,003
7.0,31,023
7.0,31,035
7.9,31,041
5.2,31,067
3.8,31,081
6.2,31,099
7.9,31,101
10.6,31,119
3.4,31,135
