pct_pop_over_65,state,county
14.8,28,151
17.2,28,111
20.9,28,019
17.1,28,057
22.2,28,015
17.1,28,043
14.9,28,063
13.0,28,041
16.4,28,093
16.0,28,119
14.5,28,011
12.7,28,073
14.2,28,081
16.3,28,113
14.3,28,135
18.3,28,129
15.4,28,131
15.8,28,149
19.5,28,023
18.7,28,069
20.3,28,097
10.7,28,105
18.1,28,109
15.0,28,079
15.6,28,103
15.4,28,099
14.3,28,121
15.7,28,137
17.2,28,077
14.9,28,107
19.1,28,161
16.2,28,017
16.4,28,029
14.3,28,039
13.1,28,049
15.9,28,101
16.3,28,145
17.4,28,125
16.1,28,139
13.0,28,035
19.2,28,045
11.6,28,071
16.1,28,055
15.0,28,087
13.4,28,083
16.5,28,157
14.0,28,047
21.1,28,065
16.3,28,085
14.6,28,123
19.2,28,159
13.0,28,163
17.6,28,009
18.7,28,037
19.2,28,061
16.1,28,067
18.6,28,095
12.4,28,133
17.5,28,155
17.7,28,001
17.4,28,025
16.2,28,031
15.5,28,053
18.6,29,123
19.5,29,229
18.4,29,217
17.8,29,195
14.5,29,147
23.3,29,041
21.1,29,079
23.4,29,141
22.8,29,223
19.1,29,017
16.0,29,031
20.4,29,205
15.2,29,225
25.0,29,005
19.1,29,013
29.6,29,015
19.4,29,035
22.7,29,057
20.6,29,115
19.2,29,091
12.0,29,101
17.3,29,105
20.7,29,125
15.4,29,161
13.9,29,165
15.8,29,187
18.1,29,003
20.8,29,033
20.0,29,061
21.3,29,103
17.2,29,127
16.7,29,151
19.8,29,181
17.3,29,219
17.1,29,007
15.0,29,043
15.8,29,077
21.9,29,081
26.7,29,185
14.2,29,001
18.2,29,199
20.2,29,211
20.4,29,045
14.1,29,099
18.2,29,111
18.2,29,143
17.5,29,157
20.4,29,173
17.6,29,177
17.3,29,189
29.7,29,209
19.9,29,009
11.4,29,019
23.1,29,039
18.7,29,055
21.3,29,093
20.0,29,117
15.4,29,135
23.6,29,149
16.2,29,159
18.5,29,186
15.9,29,175
17.9,29,069
16.5,29,071
18.0,29,089
14.3,29,095
18.2,29,131
8.3,29,169
23.7,29,171
20.8,29,213
20.1,29,215
15.5,29,021
19.4,29,025
15.5,29,027
16.1,29,037
17.4,29,049
17.0,29,053
