pct_pop_uninsured,state,county
18.2,28,151
15.1,28,111
8.5,28,019
11.4,28,057
8.4,28,015
12.1,28,043
16.9,28,063
13.0,28,041
15.4,28,093
18.7,28,119
14.6,28,011
12.3,28,073
11.6,28,081
14.3,28,113
11.2,28,135
11.5,28,129
13.4,28,131
12.8,28,149
9.3,28,023
13.3,28,069
9.3,28,097
10.7,28,105
14.0,28,109
15.8,28,079
15.7,28,103
12.0,28,099
8.8,28,121
11.9,28,137
13.7,28,077
12.9,28,107
13.1,28,161
14.0,28,017
14.7,28,029
15.4,28,039
12.4,28,049
11.4,28,101
11.4,28,145
19.6,28,125
11.8,28,139
14.2,28,035
14.4,28,045
8.9,28,071
10.4,28,055
12.7,28,087
15.8,28,083
14.8,28,157
15.8,28,047
17.7,28,065
13.1,28,085
15.9,28,123
11.1,28,159
13.2,28,163
15.9,28,009
11.1,28,037
13.0,28,061
10.7,28,067
11.3,28,095
16.3,28,133
11.7,28,155
14.8,28,001
11.2,28,025
14.1,28,031
15.4,28,053
9.3,29,123
18.8,29,229
13.9,29,217
8.7,29,195
8.2,29,147
7.3,29,041
16.2,29,079
22.8,29,141
14.8,29,223
10.8,29,017
8.2,29,031
12.9,29,205
15.1,29,225
8.5,29,005
9.6,29,013
12.1,29,015
17.0,29,035
13.0,29,057
11.5,29,115
12.8,29,091
8.8,29,101
11.8,29,105
12.3,29,125
8.8,29,161
6.2,29,165
10.6,29,187
7.1,29,003
10.9,29,033
15.5,29,061
17.1,29,103
9.8,29,127
5.3,29,151
14.3,29,181
8.8,29,219
10.0,29,007
8.9,29,043
10.4,29,077
13.7,29,081
12.3,29,185
8.5,29,001
35.4,29,199
14.6,29,211
15.2,29,045
8.4,29,099
10.1,29,111
16.3,29,143
5.9,29,157
9.3,29,173
10.6,29,177
6.7,29,189
9.8,29,209
15.5,29,009
7.0,29,019
16.1,29,039
17.2,29,055
12.9,29,093
11.8,29,117
15.4,29,135
17.3,29,149
13.4,29,159
5.7,29,186
10.0,29,175
