pct_pop_using_public_transit,state,county
0.0,28,151
0.0,28,111
0.3,28,019
0.2,28,057
0.0,28,015
0.3,28,043
0.0,28,063
0.0,28,041
0.5,28,093
0.0,28,119
0.1,28,011
0.1,28,073
0.3,28,081
0.4,28,113
0.0,28,135
0.8,28,129
0.2,28,131
0.2,28,149
0.0,28,023
0.0,28,069
0.0,28,097
0.6,28,105
0.0,28,109
0.2,28,079
0.0,28,103
0.3,28,099
0.0,28,121
0.0,28,137
0.6,28,077
0.1,28,107
0.2,28,161
0.0,28,017
0.1,28,029
1.1,28,039
0.5,28,049
0.4,28,101
0.0,28,145
1.4,28,125
0.0,28,139
0.5,28,035
0.3,28,045
0.7,28,071
0.3,28,055
0.0,28,087
0.8,28,083
0.2,28,157
0.4,28,047
1.2,28,065
0.6,28,085
0.8,28,123
0.3,28,159
0.0,28,163
0.0,28,009
0.0,28,037
0.1,28,061
0.1,28,067
0.2,28,095
0.4,28,133
0.4,28,155
0.8,28,001
0.0,28,025
0.6,28,031
1.2,28,053
0.1,29,123
0.0,29,229
0.4,29,217
0.8,29,195
0.1,29,147
0.0,29,041
1.6,29,079
0.3,29,141
0.9,29,223
1.0,29,017
0.5,29,031
0.0,29,205
0.4,29,225
0.2,29,005
0.5,29,013
0.2,29,015
0.0,29,035
0.3,29,057
0.0,29,115
0.4,29,091
0.1,29,101
0.1,29,105
0.2,29,125
0.6,29,161
0.6,29,165
0.1,29,187
0.0,29,003
0.0,29,033
0.0,29,061
0.0,29,103
0.2,29,127
0.3,29,151
0.0,29,181
0.0,29,219
0.0,29,007
0.0,29,043
0.7,29,077
0.1,29,081
0.1,29,185
0.1,29,001
0.0,29,199
0.0,29,211
0.0,29,045
0.2,29,099
0.6,29,111
0.6,29,143
0.2,29,157
0.0,29,173
0.5,29,177
2.5,29,189
0.0,29,209
0.2,29,009
1.1,29,019
0.0,29,039
0.4,29,055
0.1,29,093
0.4,29,117
0.3,29,135
0.8,29,149
0.6,29,159
0.0,29,186
0.4,29,175
0.3,29,069
0.2,29,071
0.0,29,089
2.1,29,095
0.1,29,131
0.3,29,169
0.0,29,171
0.8,29,213
0.3,29,215
0.9,29,021
0.0,29,025
0.0,29,027
0.1,29,037
0.6,29,049
0.2,29,053
0.3,29,059
0.9,29,075
0.0,29,085
0.1,29,113
0.3,29,133
0.0,29,137
0.2,29,145
0.3,29,153
0.1,29,163
0.2,29,183
0.3,30,017
0.5,30,041
0.0,30,075
1.7,30,067
2.1,30,085
1.7,30,005
0.0,30,051
0.1,30,083
0.7,30,099
0.0,30,101
0.1,30,025
0.0,30,019
0.0,30,045
0.6,30,093
0.2,30,023
0.4,30,043
0.0,30,055
1.6,30,107
0.3,30,087
0.0,30,011
0.2,30,021
0.0,30,007
0.4,30,047
0.0,30,073
0.6,30,111
0.1,30,081
0.2,30,105
0.0,30,027
0.2,30,061
0.0,30,069
0.1,30,089
0.0,30,109
0.0,30,059
1.0,30,009
0.7,30,029
1.2,30,071
0.6,31,001
1.3,31,109
0.0,31,011
0.0,31,149
0.0,31,007
0.0,31,163
0.0,31,147
0.3,31,093
0.4,31,089
0.0,31,065
0.8,31,073
0.2,31,151
0.2,31,153
1.3,31,173
0.2,31,177
0.0,31,015
0.6,31,031
0.1,31,053
0.1,31,059
0.1,31,069
0.0,31,091
0.2,31,123
0.0,31,127
0.1,31,159
0.0,31,171
0.2,31,043
0.2,31,181
0.0,31,003
0.2,31,023
0.0,31,035
0.0,31,041
0.1,31,067
0.0,31,081
0.0,31,099
1.2,31,101
0.4,31,119
0.1,31,135
0.0,31,155
0.0,31,179
0.0,31,103
0.0,31,107
0.5,31,111
0.0,31,139
0.0,31,165
0.1,31,025
0.0,31,051
0.2,31,057
0.9,31,077
0.4,31,079
0.0,31,131
0.1,31,145
0.1,31,045
0.0,31,033
0.0,31,047
0.0,31,117
0.0,31,125
0.0,31,167
0.0,31,175
0.4,31,083
0.4,31,009
0.3,31,019
0.0,31,049
0.0,31,087
0.1,31,141
0.1,31,169
0.1,31,013
0.0,32,001
0.1,32,005
0.9,32,027
0.0,32,009
12.4,32,013
0.0,32,021
1.6,32,033
14.0,32,007
0.0,32,017
1.3,32,023
1.6,32,029
1.8,32,031
3.8,32,003
0.4,32,510
0.4,32,019
0.3,33,005
0.4,33,013
1.3,33,009
0.8,33,015
0.1,33,001
0.4,33,019
0.9,33,011
2.1,33,017
0.2,33,007
0.1,33,003
8.2,34,025
1.8,34,037
1.9,34,011
21.4,34,013
1.8,34,029
2.2,34,015
0.9,34,033
