population,pop_density,state,county
55869,93.985346015,01,001
223234,140.41440206,01,003
24686,27.89353269,01,005
22394,35.976529818,01,007
57826,89.676246572,01,009
10101,16.218372794,01,011
19448,25.034802814,01,013
113605,187.50731202,01,015
33254,55.74284076,01,017
26196,47.325768735,01,019
44428,64.123408689,01,021
12589,13.781552293,01,023
23622,19.074297415,01,025
13235,21.913665329,01,027
14910,26.620035223,01,029
52342,77.088467615,01,031
55241,93.1952259,01,033
12067,14.193130658,01,035
10663,16.38166426,01,037
37049,35.950408623,01,039
13772,22.619139114,01,041
83768,114.01021653,01,043
49172,87.634864447,01,045
37196,38.004042961,01,047
71513,92.025625422,01,049
81209,131.3112898,01,051
36633,38.755951378,01,053
102268,191.12364467,01,055
16302,25.971679091,01,057
31362,49.473233808,01,059
26271,45.730009764,01,061
8111,12.535873955,01,063
14651,22.75047109,01,065
17205,30.627485171,01,067
105882,182.60057248,01,069
51626,47.891104629,01,071
658573,592.55351575,01,073
13805,22.823980559,01,075
92729,138.81313278,01,077
32924,47.668661758,01,079
164542,270.83432209,01,081
98915,176.64798277,01,083
9726,13.58548408,01,085
18068,29.676718491,01,087
372909,465.21086205,01,089
18863,19.309184104,01,091
29709,40.020627603,01,093
96774,171.02562219,01,095
413210,336.10418322,01,097
20733,20.214129306,01,099
226486,288.39277018,01,101
119679,206.48553652,01,103
8923,12.39897807,01,105
19930,22.613154415,01,107
33114,49.271815027,01,109
22722,39.138789293,01,111
57961,90.398784224,01,113
89512,141.72690747,01,115
217702,277.19182547,01,117
12427,13.749325385,01,119
79978,108.54834994,01,121
40367,56.337434921,01,123
209355,158.49907988,01,125
63521,80.30445929,01,127
16326,15.113785233,01,129
10373,11.675388474,01,131
23629,38.547672328,01,133
3337,0.4777265018,02,013
5634,1.2820721486,02,016
288000,168.73682383,02,020
18386,0.4525158466,02,050
836,1.7345095993,02,060
2097,0.1659417972,02,068
4916,0.2681702055,02,070
96849,13.213430298,02,090
2530,1.0791088078,02,100
2148,0.3276151563,02,105
31974,11.824810464,02,110
58708,3.6639393785,02,122
13901,2.8620987247,02,130
12998,1.964820172,02,150
8314,0.4869330114,02,158
1592,0.0665977157,02,164
108317,4.3827989138,02,170
10004,0.4355242355,02,180
9832,0.1106902495,02,185
7621,0.2136891191,02,188
3266,1.1259529785,02,195
6203,1.1784333295,02,198
8493,2.9592176606,02,220
1183,2.7262276648,02,230
6893,0.2776884175,02,240
9202,0.268892447,02,261
2502,0.9788750597,02,275
579,0.0759515757,02,282
5230,0.0359263713,02,290
71887,6.4197724403,04,001
125922,20.278115144,04,003
143476,7.7068092455,04,005
54018,11.353098915,04,007
38837,8.4028631682,04,009
9498,5.1559562704,04,011
21108,4.6944664886,04,012
4485414,487.50954904,04,013
212181,15.915332957,04,015
110924,11.148081274,04,017
1047279,113.97478676,04,019
462789,86.243934534,04,021
46498,37.612599392,04,023
235099,28.942035103,04,025
213787,38.772802142,04,027
17486,17.68383354,05,001
19657,21.24256434,05,003
41932,75.655216879,05,005
279141,329.21407866,05,007
37432,63.444582879,05,009
10763,16.577959308,05,011
5189,8.25531362,05,013
28380,45.043997291,05,015
10118,15.693465327,05,017
22320,25.77136629,05,019
14551,22.754852092,05,021
24919,45.00446495,05,023
7956,13.309272715,05,025
23457,30.623376346,05,027
20846,37.745621651,05,029
110332,155.98965575,05,031
63257,106.53503309,05,033
47955,78.565511162,05,035
16419,26.637704838,05,037
7009,10.502163448,05,039
11361,14.790360066,05,041
18219,21.993583557,05,043
126007,194.46828522,05,045
17715,29.095918425,05,047
12477,20.183176572,05,049
99386,146.66939609,05,051
18265,28.908936635,05,053
45325,78.45926416,05,055
21532,29.596390322,05,057
33771,54.886284961,05,059
13202,22.430767562,05,061
37825,49.507557221,05,063
13629,23.474179931,05,065
16719,26.377455852,05,067
66824,76.80457988,05,069
26578,40.279389752,05,071
6624,12.538444942,05,073
16406,27.919679211,05,075
8857,14.697457631,05,077
13024,23.193334411,05,079
12259,23.032572119,05,081
21466,30.307569482,05,083
73309,95.03693678,05,085
16576,19.869131375,05,087
16694,27.96517883,05,089
43257,69.13026714,05,091
40651,45.138878247,05,093
6701,11.037114769,05,095
8986,11.521687699,05,097
8252,13.356142655,05,099
7753,9.4444614151,05,101
23382,31.908498886,05,103
10455,18.955371284,05,105
17782,25.562499158,05,107
10718,17.84474605,05,109
23528,31.024751005,05,111
19964,23.282172074,05,113
64072,78.856275223,05,115
8062,12.443872702,05,117
391911,516.73581324,05,119
17958,27.533501081,05,121
24994,39.375552191,05,123
122437,169.21150169,05,125
10281,11.521057496,05,127
7881,11.833169823,05,129
127827,240.65234879,05,131
17007,30.084666463,05,133
17442,28.858136858,05,135
12506,20.620908233,05,137
38682,37.220922658,05,139
16545,23.311018833,05,141
239187,253.92016704,05,143
78753,76.084445421,05,145
6320,10.770528812,05,147
21341,22.944738637,05,149
1671329,2266.8038359,06,001
1129,1.5291051379,06,003
39752,66.858209499,06,005
219186,133.93669839,06,007
45905,45.004949116,06,009
21547,18.724913044,06,011
1153526,1608.6423209,06,013
27812,27.639863872,06,015
192843,112.91594941,06,017
999101,167.6799017,06,019
28393,21.608599947,06,021
135558,37.99127697,06,023
181215,43.399192677,06,025
18039,1.7690113294,06,027
900202,110.6947351,06,029
152940,110.00431738,06,031
64386,51.241878985,06,033
30573,6.7323831967,06,035
10039107,2473.5073498,06,037
157327,73.62298192,06,039
258826,497.3152999,06,041
17203,11.873656028,06,043
86749,24.740481573,06,045
277680,143.42146144,06,047
8841,2.2394002959,06,049
14444,4.7373118689,06,051
434061,132.2662889,06,053
137744,184.08552018,06,055
99755,104.15446736,06,057
3175692,4005.6166459,06,059
398329,283.09018519,06,061
18807,7.3664475247,06,063
2470546,342.703209,06,065
1552058,1607.9350016,06,067
62808,45.229486087,06,069
2180085,108.63552451,06,071
3338330,792.91438376,06,073
881549,18795.223512,06,075
762148,547.38885704,06,077
283111,85.775180087,06,079
766573,1708.6818505,06,081
446499,163.24346466,06,083
1927852,1493.2046662,06,085
273213,613.82863485,06,087
180080,47.697443513,06,089
3005,3.1526435038,06,091
43539,6.9343223736,06,093
447643,544.70103033,06,095
494336,313.74622239,06,097
550660,368.08392539,06,099
96971,160.9395951,06,101
65084,22.068830947,06,103
12285,3.8640974347,06,105
466195,96.634667469,06,107
54478,24.530013798,06,109
846006,459.16825553,06,111
220500,217.29866745,06,113
78668,124.47153319,06,115
517421,443.64116675,08,001
16233,22.465424451,08,003
656590,822.83599885,08,005
14029,10.391173342,08,007
3581,1.4015695336,08,009
5577,3.6864273852,08,011
326196,449.0721707,08,013
70465,2135.0741839,08,014
20356,20.086669116,08,015
1831,1.0296488382,08,017
9700,24.55243145,08,019
8205,6.3731703633,08,021
3887,3.1663577284,08,023
6061,7.6972162063,08,025
5068,6.8613905706,08,027
31162,27.284220284,08,029
727211,4743.9552682,08,031
2055,1.9256531242,08,033
351154,417.91548841,08,035
55127,32.726608698,08,037
26729,14.441579212,08,039
720403,338.71841276,08,041
47839,31.20445954,08,043
60061,20.377448183,08,045
6243,41.613730276,08,047
15734,8.5212337515,08,049
17462,5.3909343068,08,051
820,0.7339575399,08,053
6897,4.334919592,08,055
1392,0.8626001243,08,057
582881,762.59696552,08,059
1406,0.7953348788,08,061
7097,3.2843989042,08,063
8127,21.561657813,08,065
56221,33.273132033,08,067
356899,137.4922924,08,069
14506,3.0392180855,08,071
5701,2.2116792515,08,073
22409,12.188088015,08,075
154210,46.324405694,08,077
769,0.8780939967,08,079
13283,2.8004043902,08,081
26183,12.902166001,08,083
42758,19.080333806,08,085
29068,22.700768731,08,087
18278,14.483982029,08,089
4952,9.1433973996,08,091
18845,8.5897142148,08,093
4265,6.199777726,08,095
17767,18.303260404,08,097
12172,7.4292112205,08,099
168424,70.58553725,08,101
6324,1.9633833798,08,103
11267,12.354757523,08,105
25638,10.854269955,08,107
6824,2.1536556841,08,109
728,1.8786342004,08,111
8179,6.3564403745,08,113
2248,4.101884615,08,115
31011,50.976513811,08,117
25388,45.576449143,08,119
4908,1.949101146,08,121
324492,81.429805285,08,123
10019,4.2374414873,08,125
943332,1509.4086275,09,001
891720,1213.2864925,09,003
180333,195.90467325,09,005
162436,439.84321801,09,007
854757,1413.9582297,09,009
265206,398.72059141,09,011
150721,367.29661189,09,013
116782,227.67698741,09,015
180786,308.47687444,10,001
558753,1310.6490387,10,003
234225,250.20481554,10,005
705749,11543.999939,11,001
269043,307.28851819,12,001
29210,49.911990836,12,003
174705,230.30172695,12,005
28201,95.933656468,12,007
601942,593.05632145,12,009
1952778,1623.499921,12,011
14105,24.861791115,12,013
188910,277.35736469,12,015
149657,257.18197519,12,017
219252,362.63057436,12,019
384902,192.74608394,12,021
71686,89.882616434,12,023
38001,59.684954353,12,027
16826,23.862999057,12,029
957755,1255.8590575,12,031
318316,484.51894692,12,033
115081,237.20947675,12,035
12125,22.24195612,12,037
45660,88.435431486,12,039
18582,53.137750778,12,041
13811,17.123165499,12,043
13639,24.64407634,12,045
14428,28.081941717,12,047
26937,42.249148339,12,049
42022,36.344011064,12,051
193920,410.01303591,12,053
106221,104.3793425,12,055
1471968,1440.3883066,12,057
19617,40.966333101,12,059
159923,318.07512707,12,061
46414,50.55019229,12,063
14246,23.819664615,12,065
8422,15.500288741,12,067
367118,386.1320543,12,069
770577,986.07766533,12,071
293582,440.22546489,12,073
41503,37.115151768,12,075
8354,9.9980448271,12,077
18493,26.550226543,12,079
403253,542.27582552,12,081
365579,230.15315849,12,083
161000,296.0539284,12,085
2716940,1430.0879913,12,086
74228,75.509435696,12,087
88625,136.62350377,12,089
210738,226.54514971,12,091
42168,54.823647905,12,093
1393452,1545.0772998,12,095
375751,283.03811034,12,097
1496770,761.99313226,12,099
553947,741.97917716,12,101
974996,3561.2781285,12,103
724777,403.20522157,12,105
74521,102.382701,12,107
264672,440.7050343,12,109
328297,574.29667346,12,111
184313,182.05920707,12,113
433742,780.13055204,12,115
471826,1525.3362784,12,117
132420,237.68129645,12,119
44417,64.507811609,12,121
21569,20.673471932,12,123
15237,62.56081663,12,125
553284,502.41804154,12,127
33739,55.636527316,12,129
74071,71.377063157,12,131
25473,43.567657611,12,133
18386,36.173410386,13,001
8165,23.82421753,13,003
11164,39.29810477,13,005
3038,8.8841493582,13,007
44890,173.52206295,13,009
19234,82.885148043,13,011
83240,516.90185253,13,013
107738,234.76983541,13,015
16700,66.76745971,13,017
19397,42.783499826,13,019
153159,614.11369433,13,021
12873,59.632498232,13,023
19109,43.113474666,13,025
15457,31.341228373,13,027
39627,90.566155149,13,029
79608,117.7718324,13,031
22383,27.064154321,13,033
24936,135.75048129,13,035
6189,22.073290155,13,037
54666,86.727841636,13,039
10803,44.445931938,13,043
119992,240.45156181,13,045
67580,416.74254951,13,047
13392,17.167318689,13,049
289430,668.24945353,13,051
10907,43.849500395,13,053
24789,79.11550459,13,055
258773,614.54094882,13,057
128331,1076.3988884,13,059
2834,14.503289288,13,061
292256,2062.8050676,13,063
6618,8.1202878844,13,065
760141,2237.0896015,13,067
43273,73.065025763,13,069
45600,83.358192876,13,071
156714,540.25162678,13,073
17270,75.606139957,13,075
148509,336.80589489,13,077
12404,38.176318159,13,079
22372,82.04501741,13,081
16116,92.631502469,13,083
26108,123.83548313,13,085
26404,44.215082308,13,087
759297,2836.041489,13,089
20605,41.545982312,13,091
13390,34.10329848,13,093
87956,267.63323588,13,095
146343,731.21043705,13,097
10190,19.879066674,13,099
4006,9.5288579495,13,101
64296,134.28047126,13,103
19194,54.668554458,13,105
22646,33.27497148,13,107
10654,58.252119003,13,109
26188,67.650898703,13,111
114421,588.65191144,13,113
98498,193.20052674,13,115
244252,1087.7329881,13,117
23349,89.267709284,13,119
1063937,2019.9144194,13,121
31369,73.599328187,13,123
2971,20.668466164,13,125
85292,203.29351446,13,127
57963,162.61519552,13,129
24633,54.197856078,13,131
18324,47.26782481,13,133
936250,2174.1752753,13,135
45328,163.74088544,13,137
204441,520.20744436,13,139
8457,17.952857857,13,141
29792,105.58352184,13,143
35236,75.968342179,13,145
26205,112.74742334,13,147
11923,40.284179989,13,149
234561,736.11147402,13,151
157863,419.80001952,13,153
9416,26.571642734,13,155
72977,214.84764978,13,157
14219,38.595984708,13,159
15115,45.675982346,13,161
15362,29.174765401,13,163
8676,24.979491545,13,165
9643,31.823101062,13,167
28735,72.942274444,13,169
19077,103.96149303,13,171
10423,53.033498688,13,173
47546,58.89289941,13,175
29992,84.275042377,13,177
61435,118.95161658,13,179
7921,37.650702451,13,181
19559,48.849483611,13,183
117406,236.15375655,13,185
33610,118.7874112,13,187
21312,82.774133665,13,189
14378,33.332243495,13,191
12947,32.314015098,13,193
29880,105.83442339,13,195
8359,22.837741593,13,197
21167,42.230671796,13,199
5718,20.246237336,13,201
21863,42.687998082,13,205
27578,69.625311737,13,207
9172,38.035182446,13,209
19276,55.485929007,13,211
40096,116.39102014,13,213
195769,904.33168193,13,215
111744,408.12156823,13,217
40280,218.51540925,13,219
15259,34.753603574,13,221
168667,540.02982095,13,223
27546,183.29249658,13,225
32591,140.44249934,13,227
19465,57.174392586,13,229
18962,87.752048679,13,231
42613,137.31381163,13,233
11137,44.680007989,13,235
22119,64.172226769,13,237
2299,15.201265389,13,239
17137,46.298679791,13,241
6778,15.827719353,13,243
202518,624.41570879,13,245
90896,700.17769965,13,247
5257,31.49628518,13,249
13966,21.626845678,13,251
8090,34.058009568,13,253
66703,340.33316973,13,255
25925,144.71096476,13,257
6621,14.432745408,13,259
29524,61.141832579,13,261
6195,15.828711442,13,263
1537,7.8979492606,13,265
25286,52.588936502,13,267
8020,21.290923576,13,269
15860,36.267388825,13,271
8531,25.409627259,13,273
44451,81.61793304,13,275
40644,155.79031876,13,277
26830,73.706990666,13,279
12037,72.309950917,13,281
6901,34.603078806,13,283
69922,168.89065797,13,285
7985,27.976777812,13,287
8120,22.602039493,13,289
24511,76.100933259,13,291
26320,81.368499194,13,293
69761,156.27806989,13,295
94593,289.43893691,13,297
35734,39.738681805,13,299
5254,18.476713947,13,301
20374,30.027404572,13,303
29927,46.619857609,13,305
2607,12.452439924,13,307
7855,26.583004569,13,309
30798,127.92876454,13,311
104628,360.24224386,13,313
