fips,state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
01001,01,001,58786,12,14.6,7.1,0.1,93.98534602
01003,01,003,55962,7.3,19.5,10.2,0.1,140.4144021
01005,01,005,34186,21.5,18,11.2,0.3,27.89353269
01007,01,007,45340,10.5,16.3,7.9,0.5,35.97652982
01009,01,009,48695,10.2,17.8,11,0.1,89.67624657
01011,01,011,32152,31,15.6,10.8,0,16.21837279
01013,01,013,39109,18.9,19,10.2,0,25.03480281
01015,01,015,45197,14.6,16.8,9.4,0.3,187.507312
01017,01,017,39872,11.3,18.9,10.8,0.2,55.74284076
01019,01,019,41014,12.5,21.7,8.3,0.2,47.32576874
01021,01,021,45182,15.3,15.8,14.2,0,64.12340869
01023,01,023,34884,17.8,22.1,11.4,0,13.78155229
01025,01,025,36127,18.4,19,10.8,0.1,19.07429742
01027,01,027,41225,14.8,19.8,10.2,0,21.91366533
01029,01,029,40188,12,18.8,12.8,0,26.62003522
01031,01,031,53155,11.6,16.3,10.1,0,77.08846762
01033,01,033,47558,12.6,19.3,8.1,0.1,93.1952259
01035,01,035,33177,17.4,21.6,14.5,0.2,14.19313066
01037,01,037,38301,8.7,21.8,7.8,0.5,16.38166426
01039,01,039,40601,13.8,20.5,11.2,0,35.95040862
01041,01,041,39812,10.3,18.3,10,0.5,22.61913911
01043,01,043,42558,11.7,18,11.8,0.1,114.0102165
01045,01,045,45960,13.5,16.1,11.4,0,87.63486445
01047,01,047,31602,24.8,16.8,12,0,38.00404296
01049,01,049,39233,17,16.3,14.5,0.1,92.02562542
01051,01,051,59347,9.8,14.5,8.2,0.1,131.3112898
01053,01,053,35000,17.9,17.3,15.5,0,38.75595138
01055,01,055,44023,13.4,18.3,10.4,0.2,191.1236447
01057,01,057,37458,15,20.5,8.8,0,25.97167909
01059,01,059,40459,14.8,16.2,12.8,0.2,49.47323381
01061,01,061,38142,17.8,19.4,13.7,0,45.73000976
01063,01,063,21804,33.4,20.4,11.4,0,12.53587396
01065,01,065,30571,20.1,18.3,8.8,0.1,22.75047109
01067,01,067,48610,10.7,21.6,11.4,0,30.62748517
01069,01,069,45496,14,16.9,10.4,0.1,182.6005725
01071,01,071,39816,16.5,19.1,9.6,0,47.89110463
01073,01,073,51979,13.2,15,9.5,0.9,592.5535158
01075,01,075,36756,15.2,21.1,9.4,0.7,22.82398056
01077,01,077,46265,10.5,19.3,9.1,0,138.8131328
01079,01,079,44515,13.4,17.4,8.2,0.1,47.66866176
01081,01,081,48056,12.8,11.1,7.9,0.7,270.8343221
01083,01,083,56460,10.2,14.7,9.6,0.2,176.6479828
01085,01,085,30833,23.4,17.9,9.2,0.4,13.58548408
01087,01,087,32074,19.8,18.6,8.1,0.5,29.67671849
01089,01,089,63417,9.6,14.3,8.9,0.2,465.2108621
01091,01,091,32809,13.1,18.9,9.6,0,19.3091841
01093,01,093,35392,13.1,20.8,10.5,0.1,40.0206276
01095,01,095,42490,16.2,16.8,13.1,0.5,171.0256222
01097,01,097,46166,15,15.3,11.6,0.5,336.1041832
01099,01,099,30141,23.1,18.9,13.4,0.7,20.21412931
01101,01,101,47990,16.3,14.2,10.5,0.5,288.3927702
01103,01,103,49751,12.5,16.7,10.2,0.4,206.4855365
01105,01,105,23561,31.7,18.6,12.7,0,12.39897807
01107,01,107,37458,17.5,18.4,8.5,0.1,22.61315442
01109,01,109,34678,14.9,14.6,9.6,0.1,49.27181503
01111,01,111,41449,14.3,20,10.5,0.1,39.13878929
01113,01,113,40978,15.4,13.4,13.4,0.2,90.39878422
01115,01,115,54887,10,15.9,8.8,0.2,141.7269075
01117,01,117,75761,5.1,14.3,6.8,0,277.1918255
01119,01,119,23132,21.3,16.9,15.5,0.4,13.74932539
01121,01,121,41012,15.8,17.1,9.3,0.4,108.5483499
01123,01,123,43361,16,20.4,8.1,0.1,56.33743492
01125,01,125,52221,11.2,12.5,7.5,0.3,158.4990799
01127,01,127,41748,14.3,18.6,11,0.2,80.30445929
01129,01,129,40794,16.3,18.3,9.6,0,15.11378523
01131,01,131,27237,20.9,18.4,11.6,0.3,11.67538847
01133,01,133,38504,12.4,21.1,12.3,0.4,38.54767233
02013,02,013,69706,12.5,8.8,45.6,0.1,0.477726502
02016,02,016,85517,5.6,5.8,18.8,0.7,1.282072149
02020,02,020,83280,6.1,10,12.2,1.6,168.7368238
02050,02,050,54212,24.9,7.1,20.7,0.5,0.452515847
02060,02,060,84688,2.4,9.6,19.8,0.6,1.734509599
02068,02,068,84196,2.8,7.3,19.2,0.5,0.165941797
02070,02,070,58750,16.1,8.6,22.4,0.9,0.268170206
02090,02,090,77095,5,9.2,10,1,13.2134303
