state,county,place_name,fips,state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density,imposed_intervention,governor_political_party,state_control_political_party,tavg_jan,tavg_feb,tavg_mar,tavg_apr
Alabama,Autauga,Autauga County,1001,1,1,58786,12,14.6,7.1,0.1,93.98534602,1,republican ,republican,50.4,52.6,65,63.4
Alabama,Baldwin,Baldwin County,1003,1,3,55962,7.3,19.5,10.2,0.1,140.4144021,1,republican ,republican,55.1,56.9,68.6,68
Alabama,Barbour,Barbour County,1005,1,5,34186,21.5,18,11.2,0.3,27.89353269,1,republican ,republican,51.8,52.7,65.8,64.2
Alabama,Bibb ,Bibb County,1007,1,7,45340,10.5,16.3,7.9,0.5,35.97652982,1,republican ,republican,48.2,49.4,62.2,60.8
Alabama,Blount,Blount County,1009,1,9,48695,10.2,17.8,11,0.1,89.67624657,1,republican ,republican,46.8,47.7,59.9,58.7
Alabama,Bullock,Bullock County,1011,1,11,32152,31,15.6,10.8,0,16.21837279,1,republican ,republican,50.9,52.4,64.8,63.4
Alabama,Butler,Butler County,1013,1,13,39109,18.9,19,10.2,0,25.03480281,1,republican ,republican,51.5,53.9,66.3,64.3
Alabama,Calhoun,Calhoun County,1015,1,15,45197,14.6,16.8,9.4,0.3,187.507312,1,republican ,republican,48,48.8,60.7,59.1
Alabama,Chambers,Chambers County,1017,1,17,39872,11.3,18.9,10.8,0.2,55.74284076,1,republican ,republican,47.9,49.2,61,60.3
Alabama,Cherokee,Cherokee County,1019,1,19,41014,12.5,21.7,8.3,0.2,47.32576874,1,republican ,republican,47,47.9,59.5,58
Alabama,Chilton,Chilton County,1021,1,21,45182,15.3,15.8,14.2,0,64.12340869,1,republican ,republican,48.7,50.3,62.8,61.4
Alabama,Choctaw,Choctaw County,1023,1,23,34884,17.8,22.1,11.4,0,13.78155229,1,republican ,republican,51,53.6,66.3,64
Alabama,Clarke,Clarke County,1025,1,25,36127,18.4,19,10.8,0.1,19.07429742,1,republican ,republican,51.9,53.8,66.7,64.8
Alabama,Clay,Clay County,1027,1,27,41225,14.8,19.8,10.2,0,21.91366533,1,republican ,republican,47.2,48.6,60.4,59
Alabama,Cleburne,Cleburne County,1029,1,29,40188,12,18.8,12.8,0,26.62003522,1,republican ,republican,47.6,48.3,60,58.4
Alabama,Coffee,Coffee County,1031,1,31,53155,11.6,16.3,10.1,0,77.08846762,1,republican ,republican,52.4,54.3,67.4,65.2
Alabama,Colbert,Colbert County,1033,1,33,47558,12.6,19.3,8.1,0.1,93.1952259,1,republican ,republican,45.5,45.1,57.9,57.2
Alabama,Conecuh,Conecuh County,1035,1,35,33177,17.4,21.6,14.5,0.2,14.19313066,1,republican ,republican,52.8,55.2,67.6,66
Alabama,Coosa,Coosa County,1037,1,37,38301,8.7,21.8,7.8,0.5,16.38166426,1,republican ,republican,48.2,49.9,61.8,60.8
Alabama,Covington,Covington County,1039,1,39,40601,13.8,20.5,11.2,0,35.95040862,1,republican ,republican,52.6,55.1,67.6,66.1
Alabama,Crenshaw,Crenshaw County,1041,1,41,39812,10.3,18.3,10,0.5,22.61913911,1,republican ,republican,51.1,53.4,66,64
Alabama,Cullman,Cullman County,1043,1,43,42558,11.7,18,11.8,0.1,114.0102165,1,republican ,republican,46.2,47,59.5,58.1
Alabama,Dale,Dale County,1045,1,45,45960,13.5,16.1,11.4,0,87.63486445,1,republican ,republican,53.1,54.3,67.7,65.7
Alabama,Dallas,Dallas County,1047,1,47,31602,24.8,16.8,12,0,38.00404296,1,republican ,republican,50.5,52.6,65.6,63.3
Alabama,DeKalb,DeKalb County,1049,1,49,39233,17,16.3,14.5,0.1,92.02562542,1,republican ,republican,45,46.2,57.4,56.6
Alabama,Elmore,Elmore County,1051,1,51,59347,9.8,14.5,8.2,0.1,131.3112898,1,republican ,republican,49.9,52,63.9,62.8
Alabama,Escambia,Escambia County,1053,1,53,35000,17.9,17.3,15.5,0,38.75595138,1,republican ,republican,53.9,56.1,68.3,67
Alabama,Etowah,Etowah County,1055,1,55,44023,13.4,18.3,10.4,0.2,191.1236447,1,republican ,republican,47.3,47.9,59.6,58.6
Alabama,Fayette,Fayette County,1057,1,57,37458,15,20.5,8.8,0,25.97167909,1,republican ,republican,47.8,48.5,60.7,59.8
Alabama,Franklin,Franklin County,1059,1,59,40459,14.8,16.2,12.8,0.2,49.47323381,1,republican ,republican,45.4,45.4,58.5,57.4
Alabama,Geneva,Geneva County,1061,1,61,38142,17.8,19.4,13.7,0,45.73000976,1,republican ,republican,54.3,55.4,68.2,67.1
Alabama,Greene,Greene County,1063,1,63,21804,33.4,20.4,11.4,0,12.53587396,1,republican ,republican,49.2,50.5,63.8,61.7
Alabama,Hale,Hale County,1065,1,65,30571,20.1,18.3,8.8,0.1,22.75047109,1,republican ,republican,48.8,50.1,63.7,61.5
Alabama,Henry,Henry County,1067,1,67,48610,10.7,21.6,11.4,0,30.62748517,1,republican ,republican,53.2,54.1,67.7,65.9
Alabama,Houston,Houston County,1069,1,69,45496,14,16.9,10.4,0.1,182.6005725,1,republican ,republican,54.9,55.6,68.5,67.5
Alabama,Jackson,Jackson County,1071,1,71,39816,16.5,19.1,9.6,0,47.89110463,1,republican ,republican,44.7,45.7,56.6,56.8
Alabama,Jefferson,Jefferson County,1073,1,73,51979,13.2,15,9.5,0.9,592.5535158,1,republican ,republican,48,48.5,61,60
Alabama,Lamar,Lamar County,1075,1,75,36756,15.2,21.1,9.4,0.7,22.82398056,1,republican ,republican,47.8,48.5,61,60.2
Alabama,Lauderdale,Lauderdale County,1077,1,77,46265,10.5,19.3,9.1,0,138.8131328,1,republican ,republican,45.6,45.1,57,56.6
Alabama,Lawrence,Lawrence County,1079,1,79,44515,13.4,17.4,8.2,0.1,47.66866176,1,republican ,republican,45.2,45.6,57.9,57.1
Alabama,Lee,Lee County,1081,1,81,48056,12.8,11.1,7.9,0.7,270.8343221,1,republican ,republican,49.3,50.7,62.7,61.7
Alabama,Limestone,Limestone County,1083,1,83,56460,10.2,14.7,9.6,0.2,176.6479828,1,republican ,republican,45.5,46.1,57.7,57.4
Alabama,Lowndes,Lowndes County,1085,1,85,30833,23.4,17.9,9.2,0.4,13.58548408,1,republican ,republican,51.4,53.7,66.2,64.3
Alabama,Macon,Macon County,1087,1,87,32074,19.8,18.6,8.1,0.5,29.67671849,1,republican ,republican,50.2,52,63.9,62.9
Alabama,Madison,Madison County,1089,1,89,63417,9.6,14.3,8.9,0.2,465.2108621,1,republican ,republican,45.3,46,57.7,57.5
Alabama,Marengo,Marengo County,1091,1,91,32809,13.1,18.9,9.6,0,19.3091841,1,republican ,republican,50.2,51.8,65.4,62.9
Alabama,Marion,Marion County,1093,1,93,35392,13.1,20.8,10.5,0.1,40.0206276,1,republican ,republican,46.4,46.8,59.6,58.3
Alabama,Marshall,Marshall County,1095,1,95,42490,16.2,16.8,13.1,0.5,171.0256222,1,republican ,republican,45.9,47.1,58.7,58
Alabama,Mobile,Mobile County,1097,1,97,46166,15,15.3,11.6,0.5,336.1041832,1,republican ,republican,54.5,56.3,68.3,67.9
Alabama,Monroe,Monroe County,1099,1,99,30141,23.1,18.9,13.4,0.7,20.21412931,1,republican ,republican,52.7,54.7,67.4,65.6
Alabama,Montgomery,Montgomery County,1101,1,101,47990,16.3,14.2,10.5,0.5,288.3927702,1,republican ,republican,51.2,53.5,65.6,64
Alabama,Morgan,Morgan County,1103,1,103,49751,12.5,16.7,10.2,0.4,206.4855365,1,republican ,republican,45.8,46.5,58.5,57.8
Alabama,Perry,Perry County,1105,1,105,23561,31.7,18.6,12.7,0,12.39897807,1,republican ,republican,48.9,50.6,64.1,61.8
Alabama,Pickens,Pickens County,1107,1,107,37458,17.5,18.4,8.5,0.1,22.61315442,1,republican ,republican,48.8,49.8,62.3,61.3
Alabama,Pike,Pike County,1109,1,109,34678,14.9,14.6,9.6,0.1,49.27181503,1,republican ,republican,51.3,53.2,65.9,63.9
Alabama,Randolph,Randolph County,1111,1,111,41449,14.3,20,10.5,0.1,39.13878929,1,republican ,republican,47.6,48.3,60,59.2
Alabama,Russell,Russell County,1113,1,113,40978,15.4,13.4,13.4,0.2,90.39878422,1,republican ,republican,51.1,52,64.3,63.2
Alabama,St. Clair,St. Clair County,1115,1,115,54887,10,15.9,8.8,0.2,141.7269075,1,republican ,republican,47.6,48.5,60.6,59.2
Alabama,Shelby,Shelby County,1117,1,117,75761,5.1,14.3,6.8,0,277.1918255,1,republican ,republican,48.1,49.1,61.4,60.1
Alabama,Sumter,Sumter County,1119,1,119,23132,21.3,16.9,15.5,0.4,13.74932539,1,republican ,republican,50,51.8,65,62.5
Alabama,Talladega,Talladega County,1121,1,121,41012,15.8,17.1,9.3,0.4,108.5483499,1,republican ,republican,47.8,49.4,61.4,59.8
Alabama,Tallapoosa,Tallapoosa County,1123,1,123,43361,16,20.4,8.1,0.1,56.33743492,1,republican ,republican,48,49.7,61.4,60.6
Alabama,Tuscaloosa,Tuscaloosa County,1125,1,125,52221,11.2,12.5,7.5,0.3,158.4990799,1,republican ,republican,48.7,49.5,61.9,61
Alabama,Walker,Walker County,1127,1,127,41748,14.3,18.6,11,0.2,80.30445929,1,republican ,republican,47.5,48,60.6,59.5
Alabama,Washington,Washington County,1129,1,129,40794,16.3,18.3,9.6,0,15.11378523,1,republican ,republican,52.4,54.7,67.2,65.6
Alabama,Wilcox,Wilcox County,1131,1,131,27237,20.9,18.4,11.6,0.3,11.67538847,1,republican ,republican,51.2,53.2,66.2,64
Alabama,Winston,Winston County,1133,1,133,38504,12.4,21.1,12.3,0.4,38.54767233,1,republican ,republican,45.8,46,58.8,57.5
Alaska,Aleutians East,Aleutians East Borough,2013,2,13,69706,12.5,8.8,45.6,0.1,0.477726502,1,republican ,republican,19.7,29.1,30.6,38
Alaska,Aleutians West,Aleutians West Census Area,2016,2,16,85517,5.6,5.8,18.8,0.7,1.282072149,1,republican ,republican,26.7,31.6,33.8,38.7
Alaska,Anchorage,Anchorage Borough,2020,2,20,83280,6.1,10,12.2,1.6,168.7368238,1,republican ,republican,3,17,18.1,31
Alaska,Bethel,Bethel Census Area,2050,2,50,54212,24.9,7.1,20.7,0.5,0.452515847,1,republican ,republican,-4.8,8.4,16.6,33.6
Alaska,Bristol Bay,Bristol Bay Borough,2060,2,60,84688,2.4,9.6,19.8,0.6,1.734509599,1,republican ,republican,-0.1,18,21.4,39.8
Alaska,Denali,Denali Borough,2068,2,68,84196,2.8,7.3,19.2,0.5,0.165941797,1,republican ,republican,-10.4,2.7,10.8,27.8
Alaska,Dillingham,Dillingham Census Area,2070,2,70,58750,16.1,8.6,22.4,0.9,0.268170206,1,republican ,republican,0,15.2,20.1,36.7
Alaska,Fairbanks North Star,Fairbanks North Star Borough,2090,2,90,77095,5,9.2,10,1,13.2134303,1,republican ,republican,-13.7,-1.3,9.3,29.1
Alaska,Haines,Haines Borough,2100,2,100,64342,8,24.4,15.5,0.2,1.079108808,1,republican ,republican,12.8,20.9,21.9,30.7
Alaska,Juneau,Juneau Borough,2110,2,110,88213,4.4,12,11.1,5,11.82481046,1,republican ,republican,15.8,23.7,23.5,30.6
Alaska,Kenai Peninsula,Kenai Peninsula Borough,2122,2,122,66684,7.8,15.6,17.2,0.7,3.663939379,1,republican ,republican,4,18.5,20.8,33
Alaska,Ketchikan Gateway,Ketchikan Gateway Borough,2130,2,130,70356,7.4,14.1,13.2,3.6,2.862098725,1,republican ,republican,23.9,30.4,31,37.3
Alaska,Kodiak Island ,Kodiak Island Borough,2150,2,150,78281,9.5,9.1,20.3,0,1.964820172,1,republican ,republican,15,25.8,28,38.6
Alaska,Lake and Peninsula,Lake and Peninsula Borough,2164,2,164,46406,13.7,7.9,31.6,0.3,0.066597716,1,republican ,republican,3,19.2,22.2,37.1
Alaska,Matanuska-Susitna,Matanuska-Susitna Borough,2170,2,170,75905,7.3,10.7,15.2,0.8,4.382798914,1,republican ,republican,-4.6,10.6,13.2,27.4
Alaska,Nome Census,Nome Census Area,2180,2,180,58987,20.3,7.5,22.5,0.4,0.435524236,1,republican ,republican,-4.6,-8,10,23.2
Alaska,North Slope,North Slope Borough,2185,2,185,75431,9.6,6.4,20.8,2.7,0.11069025,1,republican ,republican,-17.7,-24.1,-4.2,12
Alaska,Northwest Arctic,Northwest Arctic Borough,2188,2,188,62949,21.8,7.7,27.6,0.2,0.213689119,1,republican ,republican,-9.8,-14.5,4.6,21.5
Alaska,Sitka,Sitka Borough,2220,2,220,71534,3.4,14.5,18.3,1,2.959217661,1,republican ,republican,24.7,31.6,30.9,36.9
Alaska,Southeast Fairbanks,Southeast Fairbanks Census Area,2240,2,240,71541,7.6,12.9,15.6,0.4,0.277688418,1,republican ,republican,-16.6,-3,6.4,26.4
Alaska,Valdez-Cordova,Valdez-Cordova Census Area,2261,2,261,82306,8.1,12.4,15.7,0.7,0.268892447,1,republican ,republican,-4,10.2,12.1,26.1
Alaska,Yakutat,Yakutat Borough,2282,2,282,65833,2.2,12.3,20.5,0.3,0.075951576,1,republican ,republican,13,22.5,22.4,30.2
Alaska,Yukon-Koyukuk,Yukon-Koyukuk Census Area,2290,2,290,40000,20,13.6,29.2,0.5,0.035926371,1,republican ,republican,-16.1,-7.4,7.9,27.3
Arizona,Apache,Apache County,4001,4,1,32963,28.2,14.6,23.5,1.1,6.41977244,1,republican ,republican,32.6,36,43.3,50.4
Arizona,Cochise,Cochise County,4003,4,3,48649,13.2,21,8.2,0.8,20.27811514,1,republican ,republican,46,47,53.2,60.1
Arizona,Coconino,Coconino County,4005,4,5,57616,10.9,11.6,12.3,1.5,7.706809246,1,republican ,republican,35.5,38.7,43.9,52.4
Arizona,Gila,Gila County,4007,4,7,42092,15.3,27.7,11.3,0.2,11.35309892,1,republican ,republican,44.2,45.6,50.5,58.8
Arizona,Graham,Graham County,4009,4,9,51352,16.3,13.2,8.5,0.3,8.402863168,1,republican ,republican,45.2,46.7,52.4,60.7
Arizona,Greenlee,Greenlee County,4011,4,11,60962,9,12.2,7.3,0,5.15595627,1,republican ,republican,41.4,43.1,48.7,56.4
Arizona,La Paz,La Paz County,4012,4,12,33333,16.3,37.9,14.5,0.7,4.694466489,1,republican ,republican,53.8,56.5,60.1,70
Arizona,Maricopa,Maricopa County,4013,4,13,61606,10.6,14.5,11.1,2.1,487.509549,1,republican ,republican,53.6,55.4,59.6,69.1
Arizona,Mohave,Mohave County,4015,4,15,43266,11.6,28.8,10.4,0.9,15.91533296,1,republican ,republican,45.5,47.7,51,60.5
Arizona,Navajo,Navajo County,4017,4,17,40054,22.4,16.9,13.5,1.1,11.14808127,1,republican ,republican,33.8,37.1,44.2,52.3
Arizona,Pima,Pima County,4019,4,19,51037,12.4,18.7,9.9,2.5,113.9747868,1,republican ,republican,52.1,52.9,57.6,66.2
Arizona,Pinal,Pinal County,4021,4,21,55550,9.9,19.3,8.8,0.2,86.24393453,1,republican ,republican,51.5,53.4,58.7,67.2
Arizona,Santa Cruz,Santa Cruz County,4023,4,23,40467,19.9,16.9,11.6,0.3,37.61259939,1,republican ,republican,47,47.4,52,58.7
Arizona,Yavapai,Yavapai County,4025,4,25,50180,8.8,29.8,10.4,0.4,28.9420351,1,republican ,republican,44.4,45.9,48.9,57.3
Arizona,Yuma,Yuma County,4027,4,27,44058,17.5,18,13.3,1.9,38.77280214,1,republican ,republican,55.5,57.4,61.5,71
Arkansas,Arkansas,Arkansas County,5001,5,1,39466,14.6,18.4,6.8,0,17.68383354,0,republican ,republican,46.4,47.4,58.9,60.2
Arkansas,Ashley,Ashley County,5003,5,3,39635,16.6,19.4,9.2,0.3,21.24256434,0,republican ,republican,48.7,48.7,61.5,63.1
Arkansas,Baxter,Baxter County,5005,5,5,41481,9.9,30.7,5.6,0,75.65521688,0,republican ,republican,39.5,39.9,52.2,55
Arkansas,Benton,Benton County,5007,5,7,64141,7.7,13.1,9.4,0.1,329.2140787,0,republican ,republican,40.2,39.8,53.7,55.4
Arkansas,Boone,Boone County,5009,5,9,43262,11.1,20.1,6.8,0.1,63.44458288,0,republican ,republican,39.2,39.6,52.4,54.7
Arkansas,Bradley,Bradley County,5011,5,11,39510,17.3,18.4,11.5,0,16.57795931,0,republican ,republican,48.1,48.4,60.8,62.5
Arkansas,Calhoun,Calhoun County,5013,5,13,44022,11.8,20.8,8.2,0.4,8.25531362,0,republican ,republican,47.2,47.5,60.2,62.2
