January 2020 Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",19.7,15,25.2,-5.5
AK-016,"Aleutians West Census Area",26.7,20,29.5,-2.8
AK-020,"Anchorage Municipality",3.0,6,15,-12.0
AK-050,"Bethel Census Area",-4.8,8,7.1,-11.9
AK-060,"Bristol Bay Borough",-0.3,6,15.8,-16.1
AK-068,"Denali Borough",-10.4,10,0.8,-11.2
AK-070,"Dillingham Census Area",-0.1,8,11.9,-12.0
AK-090,"Fairbanks North Star Borough",-13.7,16,-3.2,-10.5
AK-100,"Haines Borough",13.2,26,15.8,-2.6
AK-105,"Hoonah-Angoon Census Area",19.8,27,21.8,-2.0
AK-110,"Juneau City and Borough",15.8,32,17.1,-1.3
AK-122,"Kenai Peninsula Borough",4.1,6,16.3,-12.2
AK-130,"Ketchikan Gateway Borough",24.0,25,26.3,-2.3
AK-150,"Kodiak Island Borough",14.9,9,24.5,-9.6
AK-158,"Kusilvak Census Area",-3.9,14,5.9,-9.8
AK-164,"Lake and Peninsula Borough",2.9,5,16.8,-13.9
AK-170,"Matanuska-Susitna Borough",-4.6,6,7.4,-12.0
AK-180,"Nome Census Area",-4.7,22,0.6,-5.3
AK-185,"North Slope Borough",-17.7,22,-13.3,-4.4
AK-188,"Northwest Arctic Borough",-9.9,29,-6.7,-3.2
AK-195,"Petersburg Borough",20.3,31,21.8,-1.5
AK-198,"Prince of Wales-Hyder Census Area",28.2,28,30.3,-2.1
AK-220,"Sitka City and Borough",24.8,27,26.7,-1.9
AK-230,"Skagway Municipality",9.8,31,12.1,-2.3
AK-240,"Southeast Fairbanks Census Area",-16.6,21,-6.9,-9.7
AK-261,"Valdez-Cordova Census Area",-4.0,12,4.9,-8.9
AK-275,"Wrangell City and Borough",24.0,30,25.7,-1.7
AK-282,"Yakutat City and Borough",13.0,19,17.2,-4.2
AK-290,"Yukon-Koyukuk Census Area",-16.0,18,-7.1,-8.9
