February 2020 Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",29.0,68,25.3,3.7
AK-016,"Aleutians West Census Area",31.6,69,29.3,2.3
AK-020,"Anchorage Municipality",17.0,38,18,-1.0
AK-050,"Bethel Census Area",8.4,35,9.9,-1.5
AK-060,"Bristol Bay Borough",17.9,42,17.7,0.2
AK-068,"Denali Borough",4.1,38,5.2,-1.1
AK-070,"Dillingham Census Area",15.2,42,14.6,0.6
AK-090,"Fairbanks North Star Borough",-1.4,25,2.4,-3.8
AK-100,"Haines Borough",21.4,59,19.1,2.3
AK-105,"Hoonah-Angoon Census Area",27.4,66,24.4,3.0
AK-110,"Juneau City and Borough",23.8,65,20.4,3.4
AK-122,"Kenai Peninsula Borough",18.2,38,19.1,-0.9
AK-130,"Ketchikan Gateway Borough",30.4,65,28.6,1.8
AK-150,"Kodiak Island Borough",25.3,40,25.6,-0.3
AK-158,"Kusilvak Census Area",2.4,23,7.4,-5.0
AK-164,"Lake and Peninsula Borough",19.1,43,19,0.1
AK-170,"Matanuska-Susitna Borough",11.1,42,11.4,-0.3
AK-180,"Nome Census Area",-8.0,18,-0.5,-7.5
AK-185,"North Slope Borough",-24.1,11,-15.3,-8.8
AK-188,"Northwest Arctic Borough",-14.5,16,-5.7,-8.8
AK-195,"Petersburg Borough",27.2,68,24.1,3.1
AK-198,"Prince of Wales-Hyder Census Area",34.3,68,32.2,2.1
AK-220,"Sitka City and Borough",31.7,67,28.8,2.9
AK-230,"Skagway Municipality",18.3,65,15.4,2.9
AK-240,"Southeast Fairbanks Census Area",-3.1,33,-0.3,-2.8
AK-261,"Valdez-Cordova Census Area",10.2,45,9.8,0.4
AK-275,"Wrangell City and Borough",30.6,68,28.1,2.5
AK-282,"Yakutat City and Borough",22.5,58,20.4,2.1
AK-290,"Yukon-Koyukuk Census Area",-7.6,22,-2.7,-4.9
