March 2020 Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",30.5,68,27.3,3.2
AK-016,"Aleutians West Census Area",33.8,86,30.5,3.3
AK-020,"Anchorage Municipality",18.4,21,21.6,-3.2
AK-050,"Bethel Census Area",16.5,56,14.7,1.8
AK-060,"Bristol Bay Borough",21.4,43,22.2,-0.8
AK-068,"Denali Borough",11.0,45,11.6,-0.6
AK-070,"Dillingham Census Area",20.0,54,18.7,1.3
AK-090,"Fairbanks North Star Borough",9.8,34,11.9,-2.1
AK-100,"Haines Borough",22.0,25,24.1,-2.1
AK-105,"Hoonah-Angoon Census Area",26.8,25,28.4,-1.6
AK-110,"Juneau City and Borough",23.4,26,25.5,-2.1
AK-122,"Kenai Peninsula Borough",21.0,32,22.4,-1.4
AK-130,"Ketchikan Gateway Borough",31.1,28,32.1,-1.0
AK-150,"Kodiak Island Borough",28.0,45,27.8,0.2
AK-158,"Kusilvak Census Area",14.6,58,11.7,2.9
AK-164,"Lake and Peninsula Borough",22.2,45,22.7,-0.5
AK-170,"Matanuska-Susitna Borough",13.2,25,16,-2.8
AK-180,"Nome Census Area",10.1,77,4.7,5.4
AK-185,"North Slope Borough",-4.4,81,-10.2,5.8
AK-188,"Northwest Arctic Borough",4.6,72,0.3,4.3
AK-195,"Petersburg Borough",26.6,27,28.3,-1.7
AK-198,"Prince of Wales-Hyder Census Area",34.0,29,35.2,-1.2
AK-220,"Sitka City and Borough",30.9,28,32.1,-1.2
AK-230,"Skagway Municipality",18.4,30,20,-1.6
AK-240,"Southeast Fairbanks Census Area",6.8,29,10,-3.2
AK-261,"Valdez-Cordova Census Area",12.2,26,15.1,-2.9
AK-275,"Wrangell City and Borough",30.4,28,31.7,-1.3
AK-282,"Yakutat City and Borough",22.4,33,23.8,-1.4
AK-290,"Yukon-Koyukuk Census Area",7.9,55,6.9,1.0
