STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TAVG,TAVG_month
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/1/20,51,40,45.5,51.9
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/2/20,55,38,46.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/3/20,60,37,48.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/4/20,69,33,51,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/5/20,72,33,52.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/6/20,72,38,55,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/7/20,75,44,59.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/8/20,78,43,60.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/9/20,74,49,61.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/10/20,69,38,53.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/11/20,52,30,41,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/12/20,64,30,47,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/13/20,68,41,54.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/14/20,74,42,58,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/15/20,58,34,46,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/16/20,55,31,43,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/17/20,57,30,43.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/18/20,68,31,49.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/19/20,57,28,42.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/20/20,65,28,46.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/21/20,67,37,52,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/22/20,67,37,52,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/23/20,68,42,55,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/24/20,57,45,51,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/25/20,74,50,62,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/26/20,63,50,56.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/27/20,65,46,55.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/28/20,61,39,50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/29/20,72,43,57.5,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,4/30/20,74,46,60,
