STATION,NAME,LATITUDE,LONGITUDE,county,state,fips,climdiv_id
USC00518101,"PONOHOLO RANCH 178.11, HI US",20.1495,-155.8122,Hawaii,Hawaii,15001,51001
USC00518386,"PUUKAPU HOMESTEAD 192.9, HI US",20.0375,-155.6347,Hawaii,Hawaii,15001,51001
USC00518422,"PUUKOHOLA HEIAU 98.1, HI US",20.0256,-155.822,Hawaii,Hawaii,15001,51001
US1HIHI0012,"NAALEHU 5.7 W, HI US",19.073249,-155.663229,Hawaii,Hawaii,15001,51001
USR0000HPAL,"PALI 2 HAWAII, HI US",19.3175,-155.2922,Hawaii,Hawaii,15001,51001
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,Hawaii,Hawaii,15001,51001
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,Hawaii,Hawaii,15001,51001
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,Hawaii,Hawaii,15001,51001
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,Hawaii,Hawaii,15001,51001
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,Hawaii,Hawaii,15001,51001
US1HIHI0050,"PAAUILO 2.4 SW, HI US",20.019048,-155.398803,Hawaii,Hawaii,15001,51001
US1HIHI0051,"PAHOA 2.7 SSE, HI US",19.465433,-154.927051,Hawaii,Hawaii,15001,51001
USC00511665,"HONAUNAU 27, HI US",19.4174,-155.8805,Hawaii,Hawaii,15001,51001
USC00517724,"PAPAIKOU MAUKA NUMBER 2, HI US",19.7923,-155.1142,Hawaii,Hawaii,15001,51001
USC00517209,"PAAUHAU MAUKA 217.2, HI US",20.0699,-155.4444,Hawaii,Hawaii,15001,51001
USC00516198,"MAUNA LOA SLOPE OBS 39, HI US",19.5362,-155.5767,Hawaii,Hawaii,15001,51001
USC00518652,"SOUTH KONA 2 2.32, HI US",19.0826,-155.7532,Hawaii,Hawaii,15001,51001
US1HIHI0006,"KALAOA 1.7 E, HI US",19.723841,-155.992608,Hawaii,Hawaii,15001,51001
US1HIHI0001,"NAALEHU 4.6 WSW, HI US",19.0424,-155.63542,Hawaii,Hawaii,15001,51001
USC00512595,"KAHUNA FALLS 138.2, HI US",19.8583,-155.1608,Hawaii,Hawaii,15001,51001
USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",19.73556,-156.04889,Hawaii,Hawaii,15001,51001
US1HIHI0003,"PAHOA 2.1 E, HI US",19.50434,-154.9165,Hawaii,Hawaii,15001,51001
US1HIHI0047,"WAIKOLOA VILLAGE 2.7 ENE, HI US",19.9465,-155.7883,Hawaii,Hawaii,15001,51001
USC00516270,"MIDDLE PEN 147.1, HI US",20.1011,-155.8325,Hawaii,Hawaii,15001,51001
USC00519144,"WAIKOLOA BCH RT 95.9, HI US",19.9095,-155.8752,Hawaii,Hawaii,15001,51001
USC00515260,"LALAMILO FIELD OF 191.1, HI US",20.013,-155.6686,Hawaii,Hawaii,15001,51001
USC00519142,"WAIKOLOA 95.8, HI US",19.9189,-155.798,Hawaii,Hawaii,15001,51001
USR0000HHAK,"HAKALAU HAWAII, HI US",19.8211,-155.3306,Hawaii,Hawaii,15001,51001
USR0000HPUW,"PUU WAAWAA HAWAII, HI US",19.795,-155.8453,Hawaii,Hawaii,15001,51001
USW00021504,"HILO INTERNATIONAL AIRPORT 87, HI US",19.7191,-155.053,Hawaii,Hawaii,15001,51001
USC00512982,"KALOPA 216.8, HI US",20.0579,-155.432,Hawaii,Hawaii,15001,51001
USC00514765,"KONA VILLAGE 93.8, HI US",19.8187,-155.9891,Hawaii,Hawaii,15001,51001
USC00516304,"MILOLII 2.34, HI US",19.207,-155.8816,Hawaii,Hawaii,15001,51001
USC00518600,"SEA MOUNTAIN 12.15, HI US",19.1335,-155.5113,Hawaii,Hawaii,15001,51001
US1HIHI0039,"HILO 0.4 SW, HI US",19.692011,-155.092517,Hawaii,Hawaii,15001,51001
USC00517312,"PAAUILO 221, HI US",20.04005,-155.37239,Hawaii,Hawaii,15001,51001
USC00516588,"NAALEHU 14, HI US",19.0614,-155.5842,Hawaii,Hawaii,15001,51001
USC00517711,"PAPAIKOU 144.1, HI US",19.7842,-155.0937,Hawaii,Hawaii,15001,51001
US1HIHI0034,"HONOKAA 2.7 ESE, HI US",20.060613,-155.430025,Hawaii,Hawaii,15001,51001
US1HIHI0035,"HAWAIIAN OCEAN VIEW 4.7 NNE, HI US",19.135,-155.747,Hawaii,Hawaii,15001,51001
USR0000HPTA,"PTA EAST HAWAII, HI US",19.6828,-155.5453,Hawaii,Hawaii,15001,51001
US1HIHI0033,"HONOKAA 2.5 SSW, HI US",20.041679,-155.477707,Hawaii,Hawaii,15001,51001
US1HIHI0070,"PAHOA 5.7 NE, HI US",19.5565,-154.8865,Hawaii,Hawaii,15001,51001
USR0000HPTW,"PTA WEST HAWAII, HI US",19.7717,-155.7022,Hawaii,Hawaii,15001,51001
US1HIHI0071,"VOLCANO 4.0 S, HI US",19.441359,-155.2487445,Hawaii,Hawaii,15001,51001
US1HIHI0072,"HAWAIIAN PARADISE PARK 2.4 E, HI US",19.594568,-154.936038,Hawaii,Hawaii,15001,51001
USW00021514,"MAUNA LOA 5 NNE, HI US",19.5354,-155.576,Hawaii,Hawaii,15001,51001
USW00021515,"HILO 5 S, HI US",19.645,-155.0827,Hawaii,Hawaii,15001,51001
USR0000HPTK,"PTA KIPUKA ALALA HAWAII, HI US",19.6669,-155.7078,Hawaii,Hawaii,15001,51001
USC00511880,"HONOKOHAU HARBOR 68.14, HI US",19.6787,-156.0214,Hawaii,Hawaii,15001,51001
US1HIHI0068,"KEAAU 5.5 E, HI US",19.613803,-154.955684,Hawaii,Hawaii,15001,51001
US1HIHI0065,"PAHOA 4.7 NE, HI US",19.54727,-154.89877,Hawaii,Hawaii,15001,51001
USC00512802,"KAIWIKI HOMESTEAD 89.11, HI US",19.7509,-155.1362,Hawaii,Hawaii,15001,51001
USR0000HKMO,"KEAUMO HAWAII, HI US",19.4736,-155.3589,Hawaii,Hawaii,15001,51001
