"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USC00518386","PUUKAPU HOMESTEAD 192.9, HI US","20.0375","-155.6347","916.2","2020-02",
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020-02",
"USR0000HPAL","PALI 2 HAWAII, HI US","19.3175","-155.2922","847.3","2020-02","64.2"
"US1HIHI0057","NAALEHU 4.7 WSW, HI US","19.04214","-155.63715","394.4","2020-02",
"USC00513376","KAPUA 2.36, HI US","19.1445","-155.8494","533.4","2020-02",
"USR0000HLAN","LANAI 1 HAWAII, HI US","20.8733","-157.0064","387.1","2020-02","69.1"
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","19.5021","-155.029","339.9","2020-02",
"US1HIHI0050","PAAUILO 2.4 SW, HI US","20.019048","-155.398803","613.0","2020-02",
"US1HIHI0051","PAHOA 2.7 SSE, HI US","19.465433","-154.927051","259.4","2020-02",
"USC00517724","PAPAIKOU MAUKA NUMBER 2, HI US","19.7923","-155.1142","207.3","2020-02",
"USC00517209","PAAUHAU MAUKA 217.2, HI US","20.0699","-155.4444","341.4","2020-02",
"USC00518815","UNIVERSITY OF HAWAII 713, HI US","21.298","-157.8165","34.1","2020-02",
"USR0000HMLK","MOLOKAI 1 HAWAII, HI US","21.115","-156.9475","833.0","2020-02","63.4"
"USC00516198","MAUNA LOA SLOPE OBS 39, HI US","19.5362","-155.5767","3398.5","2020-02",
"USC00518652","SOUTH KONA 2 2.32, HI US","19.0826","-155.7532","646.5","2020-02",
"US1HIKI0009","LIHUE 1.3 NE, HI US","21.987","-159.338","25.0","2020-02",
"US1HIKI0002","LIHUE 1.2 NNW, HI US","21.99235","-159.3585833","60.4","2020-02",
"US1HIHI0047","WAIKOLOA VILLAGE 2.7 ENE, HI US","19.9465","-155.7883","265.2","2020-02",
"US1HIKI0006","KILAUEA 0.5 SE, HI US","22.205703","-159.40479","78.9","2020-02",
"USC00519980","WILHELMINA RISE 721, HI US","21.29889","-157.78472","335.3","2020-02",
"USC00515260","LALAMILO FIELD OF 191.1, HI US","20.013","-155.6686","797.1","2020-02",
"USC00519185","WAIALAE KAHALA 715, HI US","21.2733","-157.7803","3.0","2020-02",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","21.324","-157.9294","2.1","2020-02","74.9"
"US1HIKI0005","KAPAA 1.4 W, HI US","22.093611","-159.375833","138.7","2020-02",
"USR0000HHAK","HAKALAU HAWAII, HI US","19.8211","-155.3306","1950.7","2020-02","49.8"
"USW00022516","KAHULUI AIRPORT, HI US","20.89972","-156.42861","15.5","2020-02","73.2"
"USC00510123","AIEA HEIGHTS 764.6, HI US","21.3948","-157.9101","237.7","2020-02",
"USC00519738","WAIPAHU 750, HI US","21.386","-158.007","15.2","2020-02",
"USC00517437","PAHALA MAUKA 21.3, HI US","19.2037","-155.4858","332.2","2020-02",
"USC00518407","PUUKOLII 457.1, HI US","20.9285","-156.6735","128.3","2020-02","70.9"
"USC00518760","ULUPALAKUA RANCH 250, HI US","20.6487","-156.3982","579.1","2020-02",
"USR0000HMRG","MAKUA RIDGE HAWAII, HI US","21.5428","-158.1989","533.4","2020-02","67.1"
"USR0000HWVA","WAIANAE VALLEY HAWAII, HI US","21.4806","-158.1553","291.7","2020-02","71.0"
"US1HIKI0019","KAPAA 1.9 WSW, HI US","22.082936","-159.378555","157.0","2020-02",
"US1HIHI0039","HILO 0.4 SW, HI US","19.692011","-155.092517","107.0","2020-02",
"USC00517312","PAAUILO 221, HI US","20.04005","-155.37239","256.0","2020-02","64.1"
"USR0000HMAR","MAKUA RANGE HAWAII, HI US","21.5286","-158.2261","6.1","2020-02","72.3"
"USC00516588","NAALEHU 14, HI US","19.0614","-155.5842","201.2","2020-02",
"USC00517711","PAPAIKOU 144.1, HI US","19.7842","-155.0937","61.0","2020-02",
"US1HIHI0034","HONOKAA 2.7 ESE, HI US","20.060613","-155.430025","332.8","2020-02",
"US1HIHI0035","HAWAIIAN OCEAN VIEW 4.7 NNE, HI US","19.135","-155.747","1272.5","2020-02",
"USR0000HMAK","MAKAPULAPAI HAWAII, HI US","21.2033","-156.9661","22.9","2020-02","73.8"
"US1HIHI0033","HONOKAA 2.5 SSW, HI US","20.041679","-155.477707","757.4","2020-02",
"USW00021514","MAUNA LOA 5 NNE, HI US","19.5354","-155.576","3407.4","2020-02","41.6"
"USW00021515","HILO 5 S, HI US","19.645","-155.0827","189.6","2020-02","68.2"
"USC00512410","KAENA POINT 841.3, HI US","21.561","-158.2382","403.9","2020-02",
"USC00514830","KUALOA RANCH HEADQUARTERS 886.9, HI US","21.52037","-157.83885","14.6","2020-02",
"US1HIHN0022","KAILUA 2.2 SSE, HI US","21.372696","-157.724981","38.4","2020-02",
"US1HIHN0023","HONOLULU 2.0 SW, HI US","21.300423","-157.829327","11.9","2020-02",
"US1HIHN0027","KANEOHE 0.8 SW, HI US","21.403889","-157.801667","20.7","2020-02",
"USC00517540","PAIKO DRIVE 723.4, HI US","21.2803","-157.7335","1.5","2020-02",
"USC00517421","PAHALA 21, HI US","19.1987","-155.4778","256.0","2020-02",
"USC00515000","KULA BRNCH STATION 324.5, HI US","20.7584","-156.3212","944.9","2020-02","60.2"
"USC00517664","PALOLO VALLEY 718, HI US","21.32278","-157.77194","287.4","2020-02",
"USC00519603","WAIMEA ARBORETUM 892, HI US","21.6369","-158.0536","12.5","2020-02","71.8"
"USC00515004","KULA HOSPITAL 267, HI US","20.7009","-156.3562","923.5","2020-02","58.9"
"US1HIKI0024","HANALEI 3.0 W, HI US","22.210271","-159.549178","6.4","2020-02",
"US1HIKI0023","KAPAA 2.7 SSW, HI US","22.0593","-159.365","90.5","2020-02",
"USC00519281","WAIHEE 837.5, HI US","21.45167","-157.84889","32.9","2020-02","70.9"
"US1HIKI0026","KAPAA 2.3 SW, HI US","22.072055","-159.376707","105.2","2020-02",
"USC00512802","KAIWIKI HOMESTEAD 89.11, HI US","19.7509","-155.1362","390.1","2020-02",
"USR0000HMAH","MAKAHA RIDGE HAWAII, HI US","22.1306","-159.7153","545.0","2020-02","67.0"
"US1HIKI0020","KOLOA 2.1 SSE, HI US","21.878788","-159.451827","12.2","2020-02",
"US1HIKI0021","ANAHOLA 2.8 N, HI US","22.186885","-159.323565","73.8","2020-02",
"USR0000HKMO","KEAUMO HAWAII, HI US","19.4736","-155.3589","1682.5","2020-02","55.7"
"USC00514829","KUALOA RANCH 885.6, HI US","21.53","-157.85028","24.7","2020-02",
"USC00514828","KUALOA RANCH HAKIPUU 886.11, HI US","21.51083","-157.86222","75.0","2020-02",
"USC00518101","PONOHOLO RANCH 178.11, HI US","20.1495","-155.8122","762.0","2020-02",
"USR0000HSCO","SCHOFIELD BARRACKS HAWAII, HI US","21.495","-158.0819","298.7","2020-02","68.1"
"USC00517656","PALI GOLF COURSE 788.1, HI US","21.3733","-157.7853","128.0","2020-02",
"USC00519315","WAIHEE VLY 482, HI US","20.9414","-156.5248","103.6","2020-02",
"USC00519275","WAIEHU CAMP 484, HI US","20.9158","-156.5095","97.5","2020-02",
"USC00519397","WAIKIKI 717.2, HI US","21.2716","-157.8168","3.0","2020-02","73.6"
"USC00513208","KAPAKA FARM 904.1, HI US","21.603","-157.9022","0.9","2020-02",
"USC00510211","BERETANIA PUMP STATION 7, HI US","21.30611","-157.85306","6.1","2020-02",
"USC00511665","HONAUNAU 27, HI US","19.4174","-155.8805","286.5","2020-02",
"USC00515864","MAKAWELI 965, HI US","21.91889","-159.62778","42.7","2020-02",
"US1HIHN0002","LAIE 0.2 WNW, HI US","21.65","-157.9287","2.1","2020-02",
"USC00516395","MOANALUA 770, HI US","21.3479","-157.891","9.8","2020-02",
"US1HIHI0006","KALAOA 1.7 E, HI US","19.723841","-155.992608","304.5","2020-02",
"US1HIHI0001","NAALEHU 4.6 WSW, HI US","19.0424","-155.63542","391.4","2020-02",
"USC00512595","KAHUNA FALLS 138.2, HI US","19.8583","-155.1608","423.7","2020-02",
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2020-02","74.4"
"US1HIHI0003","PAHOA 2.1 E, HI US","19.50434","-154.9165","137.2","2020-02",
"USC00516270","MIDDLE PEN 147.1, HI US","20.1011","-155.8325","420.6","2020-02",
"USC00519144","WAIKOLOA BCH RT 95.9, HI US","19.9095","-155.8752","24.4","2020-02",
"USC00518055","POAMOHO EXPERIMENTAL FARM 855, HI US","21.53833","-158.08917","220.1","2020-02",
"USC00519142","WAIKOLOA 95.8, HI US","19.9189","-155.798","268.2","2020-02",
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2020-02","64.8"
"USC00513317","KAPALUA W. MAUI AIRPORT 462.4, HI US","20.9625","-156.6753","73.2","2020-02","72.6"
