STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,avg_apr,county,state,fips
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/1/20,,72.80,Honolulu ,Hawaii,15003
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/2/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/3/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/4/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/7/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/8/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/9/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/10/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/11/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/12/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/15/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/16/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/17/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/18/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/19/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/20/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/22/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/25/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/27/20,,,,,
USC00519257,"WAIAWA CF 834.13, HI US",21.4439,-157.967,236.2,4/30/20,,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/1/20,66,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/2/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/3/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/4/20,71,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/5/20,70,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/6/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/7/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/8/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/9/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/10/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/11/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/12/20,66,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/13/20,70,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/14/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/15/20,72,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/16/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/17/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/18/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/19/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/20/20,70,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/21/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/22/20,70,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/23/20,69,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/24/20,67,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/25/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/26/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/27/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/28/20,68,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/29/20,67,,,,
USR0000HMRG,"MAKUA RIDGE HAWAII, HI US",21.5428,-158.1989,533.4,4/30/20,67,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/1/20,71,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/2/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/3/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/4/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/5/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/6/20,71,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/7/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/8/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/9/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/10/20,71,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/11/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/12/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/13/20,73,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/14/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/15/20,75,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/16/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/17/20,75,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/18/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/19/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/20/20,72,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/21/20,70,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/22/20,73,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/23/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/24/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/25/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/26/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/27/20,74,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/28/20,75,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/29/20,73,,,,
USR0000HWVA,"WAIANAE VALLEY HAWAII, HI US",21.4806,-158.1553,291.7,4/30/20,74,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/1/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/3/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/4/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/5/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/6/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/7/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/9/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/10/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/11/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/27/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/28/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/29/20,,,,,
USC00516122,"MANOA 712.1, HI US",21.3113,-157.8157,73.2,4/30/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/1/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/2/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/3/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/4/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/5/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/6/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/9/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/10/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/11/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/15/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/16/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/17/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/18/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/19/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/20/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/21/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/22/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/25/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/26/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/27/20,,,,,
USC00516222,"MAUNAWILI 787.1, HI US",21.35083,-157.76667,127.7,4/30/20,,,,,
USR0000HSCO,"SCHOFIELD BARRACKS HAWAII, HI US",21.495,-158.0819,298.7,4/1/20,69,,,,
