STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,avg_apr,county,state,fips
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/1/20,74,74.50,Kalawao ,Hawaii,15005
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/2/20,74,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/3/20,72,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/4/20,74,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/5/20,74,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/6/20,72,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/7/20,75,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/8/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/9/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/10/20,75,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/11/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/12/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/13/20,72,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/14/20,74,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/15/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/16/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/17/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/18/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/19/20,74,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/20/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/21/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/22/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/23/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/24/20,75,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/25/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/26/20,73,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/27/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/28/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/29/20,76,,,,
USR0000HMAK,"MAKAPULAPAI HAWAII, HI US",21.2033,-156.9661,22.9,4/30/20,76,,,,
