STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,avg_mar,county,state,fips
USC00513171,"KAPAHI 1094.2, HI US",22.10222,-159.38611,161.5,3/11/20,,70.83,Kauai ,Hawaii,15007
USC00513171,"KAPAHI 1094.2, HI US",22.10222,-159.38611,161.5,3/13/20,,,,,
USC00513171,"KAPAHI 1094.2, HI US",22.10222,-159.38611,161.5,3/19/20,,,,,
USC00513171,"KAPAHI 1094.2, HI US",22.10222,-159.38611,161.5,3/20/20,,,,,
USC00513171,"KAPAHI 1094.2, HI US",22.10222,-159.38611,161.5,3/24/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/3/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/4/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/8/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/11/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/12/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/13/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/14/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/15/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/20/20,,,,,
USC00515560,"LIHUE VAR STATION 1062.1, HI US",22.02417,-159.38667,115.8,3/21/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/1/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/2/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/3/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/4/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/5/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/6/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/7/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/8/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/9/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/10/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/11/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/12/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/13/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/14/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/15/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/16/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/17/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/18/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/19/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/20/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/21/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/22/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/23/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/24/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/25/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/26/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/27/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/28/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/29/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/30/20,,,,,
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,157,3/31/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/9/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/10/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/12/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/13/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/14/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/19/20,,,,,
USC00519475,"WAILUA UH EXPERIMENTAL STATION, HI US",22.06583,-159.39611,167.6,3/21/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/1/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/2/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/3/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/4/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/5/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/6/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/7/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/8/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/9/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/10/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/11/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/12/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/13/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/14/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/15/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/16/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/17/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/18/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/19/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/20/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/21/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/22/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/23/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/24/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/25/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/26/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/27/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/28/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/29/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/30/20,,,,,
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,25,3/31/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/2/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/13/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/16/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/17/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/18/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/19/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/20/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/23/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/24/20,,,,,
USC00518217,"PUHI 1013, HI US",21.96556,-159.39639,100.3,3/31/20,,,,,
USC00517116,"OMAO 992.1, HI US",21.9075,-159.47667,73.2,3/3/20,,,,,
