STATION,NAME,LATITUDE,LONGITUDE,county,state,fips,climdiv_id
US1HIKI0019,"KAPAA 1.9 WSW, HI US",22.082936,-159.378555,Kauai,Hawaii,15007,51007
US1HIKI0009,"LIHUE 1.3 NE, HI US",21.987,-159.338,Kauai,Hawaii,15007,51007
US1HIKI0002,"LIHUE 1.2 NNW, HI US",21.99235,-159.3585833,Kauai,Hawaii,15007,51007
US1HIKI0024,"HANALEI 3.0 W, HI US",22.210271,-159.549178,Kauai,Hawaii,15007,51007
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98389,-159.34056,Kauai,Hawaii,15007,51007
US1HIKI0023,"KAPAA 2.7 SSW, HI US",22.0593,-159.365,Kauai,Hawaii,15007,51007
US1HIKI0006,"KILAUEA 0.5 SE, HI US",22.205703,-159.40479,Kauai,Hawaii,15007,51007
US1HIKI0026,"KAPAA 2.3 SW, HI US",22.072055,-159.376707,Kauai,Hawaii,15007,51007
USC00518165,"PRINCEVILLE RANCH 1117, HI US",22.2181,-159.4828,Kauai,Hawaii,15007,51007
US1HIKI0005,"KAPAA 1.4 W, HI US",22.093611,-159.375833,Kauai,Hawaii,15007,51007
USR0000HMAH,"MAKAHA RIDGE HAWAII, HI US",22.1306,-159.7153,Kauai,Hawaii,15007,51007
US1HIKI0020,"KOLOA 2.1 SSE, HI US",21.878788,-159.451827,Kauai,Hawaii,15007,51007
US1HIKI0021,"ANAHOLA 2.8 N, HI US",22.186885,-159.323565,Kauai,Hawaii,15007,51007
USC00515864,"MAKAWELI 965, HI US",21.91889,-159.62778,Kauai,Hawaii,15007,51007
USR0000HMOL,"MOLOAA DAIRY HAWAII, HI US",22.1833,-159.3375,Kauai,Hawaii,15007,51007
