STATION,NAME,LATITUDE,LONGITUDE,county,state,fips,climdiv_id
USC00518760,"ULUPALAKUA RANCH 250, HI US",20.6487,-156.3982,Maui,Hawaii,15009,51009
USC00515000,"KULA BRNCH STATION 324.5, HI US",20.7584,-156.3212,Maui,Hawaii,15009,51009
USC00519376,"WAIKAPU 390, HI US",20.8536,-156.5088,Maui,Hawaii,15009,51009
USC00515004,"KULA HOSPITAL 267, HI US",20.7009,-156.3562,Maui,Hawaii,15009,51009
USC00519315,"WAIHEE VLY 482, HI US",20.9414,-156.5248,Maui,Hawaii,15009,51009
USW00022534,"MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US",21.1545,-157.0961,Maui,Hawaii,15009,51009
USC00519275,"WAIEHU CAMP 484, HI US",20.9158,-156.5095,Maui,Hawaii,15009,51009
USR0000HLAN,"LANAI 1 HAWAII, HI US",20.8733,-157.0064,Maui,Hawaii,15009,51009
USR0000HKAN,"KANELOA HAWAII, HI US",20.5222,-156.5658,Maui,Hawaii,15009,51009
US1HIMI0006,"MAUNALOA 3.2 NNW, HI US",21.1804,-157.23191,Maui,Hawaii,15009,51009
USC00513317,"KAPALUA W. MAUI AIRPORT 462.4, HI US",20.9625,-156.6753,Maui,Hawaii,15009,51009
US1HIMI0002,"KAUNAKAKAI 3.5 ESE, HI US",21.068763,-156.962605,Maui,Hawaii,15009,51009
USC00511004,"HALEAKALA RANGER STATION 338, HI US",20.7603,-156.247,Maui,Hawaii,15009,51009
USC00511125,"HANA AIRPORT 355, HI US",20.7947,-156.0154,Maui,Hawaii,15009,51009
USW00022516,"KAHULUI AIRPORT, HI US",20.89972,-156.42861,Maui,Hawaii,15009,51009
USC00515842,"MAKENA GLF CRS 249.1, HI US",20.6419,-156.44,Maui,Hawaii,15009,51009
USC00518407,"PUUKOLII 457.1, HI US",20.9285,-156.6735,Maui,Hawaii,15009,51009
USR0000HMLK,"MOLOKAI 1 HAWAII, HI US",21.115,-156.9475,Maui,Hawaii,15009,51009
USC00515715,"MAHINAHINA 466, HI US",20.9594,-156.6505,Maui,Hawaii,15009,51009
