state,county,fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_working_pop_using_public_transit,pop_density,imposed_intervention,governor_political_party,state_control_political_party,tavg_jan,tavg_feb,tavg_mar,tavg_apr,cases_since_01212020,deaths_since_01212020,high_chance_of_death_5pct
Alabama,Autauga,1001,58786,12,14.6,7.1,0.1,93.98534602,y,republican,republican,50.4,52.6,65,63.4,774,45,y
Alabama,Baldwin,1003,55962,7.3,19.5,10.2,0.1,140.4144021,y,republican,republican,55.1,56.9,68.6,68,2972,58,n
Alabama,Barbour,1005,34186,21.5,18,11.2,0.3,27.89353269,y,republican,republican,51.8,52.7,65.8,64.2,506,2,n
Alabama,Bibb ,1007,45340,10.5,16.3,7.9,0.5,35.97652982,y,republican,republican,48.2,49.4,62.2,60.8,662,0,n
Alabama,Blount,1009,48695,10.2,17.8,11,0.1,89.67624657,y,republican,republican,46.8,47.7,59.9,58.7,619,0,n
Alabama,Bullock,1011,32152,31,15.6,10.8,0,16.21837279,y,republican,republican,50.9,52.4,64.8,63.4,236,0,n
Alabama,Butler,1013,39109,18.9,19,10.2,0,25.03480281,y,republican,republican,51.5,53.9,66.3,64.3,447,5,n
Alabama,Calhoun,1015,45197,14.6,16.8,9.4,0.3,187.507312,y,republican,republican,48,48.8,60.7,59.1,1914,40,n
Alabama,Chambers,1017,39872,11.3,18.9,10.8,0.2,55.74284076,y,republican,republican,47.9,49.2,61,60.3,6277,357,y
Alabama,Cherokee,1019,41014,12.5,21.7,8.3,0.2,47.32576874,y,republican,republican,47,47.9,59.5,58,304,0,n
Alabama,Chilton,1021,45182,15.3,15.8,14.2,0,64.12340869,y,republican,republican,48.7,50.3,62.8,61.4,1093,9,n
Alabama,Choctaw,1023,34884,17.8,22.1,11.4,0,13.78155229,y,republican,republican,51,53.6,66.3,64,491,0,n
Alabama,Clarke,1025,36127,18.4,19,10.8,0.1,19.07429742,y,republican,republican,51.9,53.8,66.7,64.8,560,11,n
Alabama,Clay,1027,41225,14.8,19.8,10.2,0,21.91366533,y,republican,republican,47.2,48.6,60.4,59,442,8,n
Alabama,Cleburne,1029,40188,12,18.8,12.8,0,26.62003522,y,republican,republican,47.6,48.3,60,58.4,354,12,n
Alabama,Coffee,1031,53155,11.6,16.3,10.1,0,77.08846762,y,republican,republican,52.4,54.3,67.4,65.2,1437,3,n
Alabama,Colbert,1033,47558,12.6,19.3,8.1,0.1,93.1952259,y,republican,republican,45.5,45.1,57.9,57.2,433,32,y
Alabama,Conecuh,1035,33177,17.4,21.6,14.5,0.2,14.19313066,y,republican,republican,52.8,55.2,67.6,66,180,0,n
Alabama,Coosa,1037,38301,8.7,21.8,7.8,0.5,16.38166426,y,republican,republican,48.2,49.9,61.8,60.8,568,18,n
Alabama,Covington,1039,40601,13.8,20.5,11.2,0,35.95040862,y,republican,republican,52.6,55.1,67.6,66.1,563,9,n
Alabama,Crenshaw,1041,39812,10.3,18.3,10,0.5,22.61913911,y,republican,republican,51.1,53.4,66,64,181,0,n
Alabama,Cullman,1043,42558,11.7,18,11.8,0.1,114.0102165,y,republican,republican,46.2,47,59.5,58.1,1148,17,n
Alabama,Dale,1045,45960,13.5,16.1,11.4,0,87.63486445,y,republican,republican,53.1,54.3,67.7,65.7,408,0,n
Alabama,Dallas,1047,31602,24.8,16.8,12,0,38.00404296,y,republican,republican,50.5,52.6,65.6,63.3,610,36,y
Alabama,DeKalb,1049,39233,17,16.3,14.5,0.1,92.02562542,y,republican,republican,45,46.2,57.4,56.6,1144,29,n
Alabama,Elmore,1051,59347,9.8,14.5,8.2,0.1,131.3112898,y,republican,republican,49.9,52,63.9,62.8,1614,16,n
Alabama,Escambia,1053,35000,17.9,17.3,15.5,0,38.75595138,y,republican,republican,53.9,56.1,68.3,67,386,10,n
Alabama,Etowah,1055,44023,13.4,18.3,10.4,0.2,191.1236447,y,republican,republican,47.3,47.9,59.6,58.6,2500,185,y
Alabama,Fayette,1057,37458,15,20.5,8.8,0,25.97167909,y,republican,republican,47.8,48.5,60.7,59.8,99,0,n
Alabama,Franklin,1059,40459,14.8,16.2,12.8,0.2,49.47323381,y,republican,republican,45.4,45.4,58.5,57.4,593,4,n
Alabama,Geneva,1061,38142,17.8,19.4,13.7,0,45.73000976,y,republican,republican,54.3,55.4,68.2,67.1,92,0,n
Alabama,Greene,1063,21804,33.4,20.4,11.4,0,12.53587396,y,republican,republican,49.2,50.5,63.8,61.7,760,3,n
Alabama,Hale,1065,30571,20.1,18.3,8.8,0.1,22.75047109,y,republican,republican,48.8,50.1,63.7,61.5,647,19,n
Alabama,Henry,1067,48610,10.7,21.6,11.4,0,30.62748517,y,republican,republican,53.2,54.1,67.7,65.9,403,7,n
Alabama,Houston,1069,45496,14,16.9,10.4,0.1,182.6005725,y,republican,republican,54.9,55.6,68.5,67.5,1597,61,n
Alabama,Jackson,1071,39816,16.5,19.1,9.6,0,47.89110463,y,republican,republican,44.7,45.7,56.6,56.8,956,59,y
Alabama,Jefferson,1073,51979,13.2,15,9.5,0.9,592.5535158,y,republican,republican,48,48.5,61,60,20742,652,n
Alabama,Lamar,1075,36756,15.2,21.1,9.4,0.7,22.82398056,y,republican,republican,47.8,48.5,61,60.2,224,0,n
Alabama,Lauderdale,1077,46265,10.5,19.3,9.1,0,138.8131328,y,republican,republican,45.6,45.1,57,56.6,765,91,y
Alabama,Lawrence,1079,44515,13.4,17.4,8.2,0.1,47.66866176,y,republican,republican,45.2,45.6,57.9,57.1,281,0,n
Alabama,Lee,1081,48056,12.8,11.1,7.9,0.7,270.8343221,y,republican,republican,49.3,50.7,62.7,61.7,8219,394,n
Alabama,Limestone,1083,56460,10.2,14.7,9.6,0.2,176.6479828,y,republican,republican,45.5,46.1,57.7,57.4,1231,0,n
Alabama,Lowndes,1085,30833,23.4,17.9,9.2,0.4,13.58548408,y,republican,republican,51.4,53.7,66.2,64.3,719,9,n
Alabama,Macon,1087,32074,19.8,18.6,8.1,0.5,29.67671849,y,republican,republican,50.2,52,63.9,62.9,580,42,y
Alabama,Madison,1089,63417,9.6,14.3,8.9,0.2,465.2108621,y,republican,republican,45.3,46,57.7,57.5,6058,99,n
Alabama,Marengo,1091,32809,13.1,18.9,9.6,0,19.3091841,y,republican,republican,50.2,51.8,65.4,62.9,784,44,y
Alabama,Marion,1093,35392,13.1,20.8,10.5,0.1,40.0206276,y,republican,republican,46.4,46.8,59.6,58.3,1554,120,y
Alabama,Marshall,1095,42490,16.2,16.8,13.1,0.5,171.0256222,y,republican,republican,45.9,47.1,58.7,58,4356,84,n
Alabama,Mobile,1097,46166,15,15.3,11.6,0.5,336.1041832,y,republican,republican,54.5,56.3,68.3,67.9,16642,723,n
Alabama,Monroe,1099,30141,23.1,18.9,13.4,0.7,20.21412931,y,republican,republican,52.7,54.7,67.4,65.6,235,23,y
Alabama,Montgomery,1101,47990,16.3,14.2,10.5,0.5,288.3927702,y,republican,republican,51.2,53.5,65.6,64,5530,102,n
Alabama,Morgan,1103,49751,12.5,16.7,10.2,0.4,206.4855365,y,republican,republican,45.8,46.5,58.5,57.8,1412,0,n
Alabama,Perry,1105,23561,31.7,18.6,12.7,0,12.39897807,y,republican,republican,48.9,50.6,64.1,61.8,172,0,n
Alabama,Pickens,1107,37458,17.5,18.4,8.5,0.1,22.61315442,y,republican,republican,48.8,49.8,62.3,61.3,893,10,n
Alabama,Pike,1109,34678,14.9,14.6,9.6,0.1,49.27181503,y,republican,republican,51.3,53.2,65.9,63.9,1025,0,n
Alabama,Randolph,1111,41449,14.3,20,10.5,0.1,39.13878929,y,republican,republican,47.6,48.3,60,59.2,1189,90,y
Alabama,Russell,1113,40978,15.4,13.4,13.4,0.2,90.39878422,y,republican,republican,51.1,52,64.3,63.2,976,0,n
Alabama,St. Clair,1115,54887,10,15.9,8.8,0.2,141.7269075,y,republican,republican,47.6,48.5,60.6,59.2,1506,0,n
Alabama,Shelby,1117,75761,5.1,14.3,6.8,0,277.1918255,y,republican,republican,48.1,49.1,61.4,60.1,7442,197,n
Alabama,Sumter,1119,23132,21.3,16.9,15.5,0.4,13.74932539,y,republican,republican,50,51.8,65,62.5,921,14,n
Alabama,Talladega,1121,41012,15.8,17.1,9.3,0.4,108.5483499,y,republican,republican,47.8,49.4,61.4,59.8,1192,28,n
Alabama,Tallapoosa,1123,43361,16,20.4,8.1,0.1,56.33743492,y,republican,republican,48,49.7,61.4,60.6,4436,261,y
Alabama,Tuscaloosa,1125,52221,11.2,12.5,7.5,0.3,158.4990799,y,republican,republican,48.7,49.5,61.9,61,4017,6,n
Alabama,Walker,1127,41748,14.3,18.6,11,0.2,80.30445929,y,republican,republican,47.5,48,60.6,59.5,2483,0,n
Alabama,Washington,1129,40794,16.3,18.3,9.6,0,15.11378523,y,republican,republican,52.4,54.7,67.2,65.6,465,30,y
Alabama,Wilcox,1131,27237,20.9,18.4,11.6,0.3,11.67538847,y,republican,republican,51.2,53.2,66.2,64,1060,12,n
Alabama,Winston,1133,38504,12.4,21.1,12.3,0.4,38.54767233,y,republican,republican,45.8,46,58.8,57.5,220,0,n
Alaska,Anchorage,2020,83280,6.1,10,12.2,1.6,168.7368238,y,republican,republican,3,17,18.1,31,4394,117,n
Alaska,Bethel,2050,54212,24.9,7.1,20.7,0.5,0.452515847,y,republican,republican,-4.8,8.4,16.6,33.6,24,0,n
Alaska,Fairbanks North Star,2090,77095,5,9.2,10,1,13.2134303,y,republican,republican,-13.7,-1.3,9.3,29.1,2358,47,n
Alaska,Juneau,2110,88213,4.4,12,11.1,5,11.82481046,y,republican,republican,15.8,23.7,23.5,30.6,638,0,n
Alaska,Kenai Peninsula,2122,66684,7.8,15.6,17.2,0.7,3.663939379,y,republican,republican,4,18.5,20.8,33,506,0,n
Alaska,Ketchikan Gateway,2130,70356,7.4,14.1,13.2,3.6,2.862098725,y,republican,republican,23.9,30.4,31,37.3,567,0,n
Alaska,Kodiak Island ,2150,78281,9.5,9.1,20.3,0,1.964820172,y,republican,republican,15,25.8,28,38.6,15,0,n
Alaska,Matanuska-Susitna,2170,75905,7.3,10.7,15.2,0.8,4.382798914,y,republican,republican,-4.6,10.6,13.2,27.4,423,17,n
Alaska,Nome Census,2180,58987,20.3,7.5,22.5,0.4,0.435524236,y,republican,republican,-4.6,-8,10,23.2,16,0,n
Alaska,Sitka,2220,71534,3.4,14.5,18.3,1,2.959217661,y,republican,republican,24.7,31.6,30.9,36.9,5,0,n
Alaska,Southeast Fairbanks,2240,71541,7.6,12.9,15.6,0.4,0.277688418,y,republican,republican,-16.6,-3,6.4,26.4,28,0,n
Alaska,Yukon-Koyukuk,2290,40000,20,13.6,29.2,0.5,0.035926371,y,republican,republican,-16.1,-7.4,7.9,27.3,29,0,n
Arizona,Apache,4001,32963,28.2,14.6,23.5,1.1,6.41977244,y,republican,republican,32.6,36,43.3,50.4,4890,97,n
Arizona,Cochise,4003,48649,13.2,21,8.2,0.8,20.27811514,y,republican,republican,46,47,53.2,60.1,633,0,n
Arizona,Coconino,4005,57616,10.9,11.6,12.3,1.5,7.706809246,y,republican,republican,35.5,38.7,43.9,52.4,8970,757,y
Arizona,Gila,4007,42092,15.3,27.7,11.3,0.2,11.35309892,y,republican,republican,44.2,45.6,50.5,58.8,188,0,n
Arizona,Graham,4009,51352,16.3,13.2,8.5,0.3,8.402863168,y,republican,republican,45.2,46.7,52.4,60.7,143,0,n
Arizona,Greenlee,4011,60962,9,12.2,7.3,0,5.15595627,y,republican,republican,41.4,43.1,48.7,56.4,52,0,n
Arizona,La Paz,4012,33333,16.3,37.9,14.5,0.7,4.694466489,y,republican,republican,53.8,56.5,60.1,70,162,19,y
Arizona,Maricopa,4013,61606,10.6,14.5,11.1,2.1,487.509549,y,republican,republican,53.6,55.4,59.6,69.1,72797,2138,n
Arizona,Mohave,4015,43266,11.6,28.8,10.4,0.9,15.91533296,y,republican,republican,45.5,47.7,51,60.5,1508,72,n
Arizona,Navajo,4017,40054,22.4,16.9,13.5,1.1,11.14808127,y,republican,republican,33.8,37.1,44.2,52.3,12570,289,n
Arizona,Pima,4019,51037,12.4,18.7,9.9,2.5,113.9747868,y,republican,republican,52.1,52.9,57.6,66.2,23413,1319,y
Arizona,Pinal,4021,55550,9.9,19.3,8.8,0.2,86.24393453,y,republican,republican,51.5,53.4,58.7,67.2,6820,147,n
Arizona,Santa Cruz,4023,40467,19.9,16.9,11.6,0.3,37.61259939,y,republican,republican,47,47.4,52,58.7,493,0,n
Arizona,Yavapai,4025,50180,8.8,29.8,10.4,0.4,28.9420351,y,republican,republican,44.4,45.9,48.9,57.3,2006,27,n
