import,fips,county_full,state_fips,county_fips,county
    01000        Alabama,1000,Alabama,01,000,Alabama
    01001        Autauga County,1001,Autauga County,01,001,Autauga
    01003        Baldwin County,1003,Baldwin County,01,003,Baldwin
    01005        Barbour County,1005,Barbour County,01,005,Barbour
    01007        Bibb County,1007,Bibb County,01,007,Bibb 
    01009        Blount County,1009,Blount County,01,009,Blount
    01011        Bullock County,1011,Bullock County,01,011,Bullock
    01013        Butler County,1013,Butler County,01,013,Butler
    01015        Calhoun County,1015,Calhoun County,01,015,Calhoun
    01017        Chambers County,1017,Chambers County,01,017,Chambers
    01019        Cherokee County,1019,Cherokee County,01,019,Cherokee
    01021        Chilton County,1021,Chilton County,01,021,Chilton
    01023        Choctaw County,1023,Choctaw County,01,023,Choctaw
    01025        Clarke County,1025,Clarke County,01,025,Clarke
    01027        Clay County,1027,Clay County,01,027,Clay
    01029        Cleburne County,1029,Cleburne County,01,029,Cleburne
    01031        Coffee County,1031,Coffee County,01,031,Coffee
    01033        Colbert County,1033,Colbert County,01,033,Colbert
    01035        Conecuh County,1035,Conecuh County,01,035,Conecuh
    01037        Coosa County,1037,Coosa County,01,037,Coosa
    01039        Covington County,1039,Covington County,01,039,Covington
    01041        Crenshaw County,1041,Crenshaw County,01,041,Crenshaw
    01043        Cullman County,1043,Cullman County,01,043,Cullman
    01045        Dale County,1045,Dale County,01,045,Dale
    01047        Dallas County,1047,Dallas County,01,047,Dallas
    01049        DeKalb County,1049,DeKalb County,01,049,DeKalb
    01051        Elmore County,1051,Elmore County,01,051,Elmore
    01053        Escambia County,1053,Escambia County,01,053,Escambia
    01055        Etowah County,1055,Etowah County,01,055,Etowah
    01057        Fayette County,1057,Fayette County,01,057,Fayette
    01059        Franklin County,1059,Franklin County,01,059,Franklin
    01061        Geneva County,1061,Geneva County,01,061,Geneva
    01063        Greene County,1063,Greene County,01,063,Greene
    01065        Hale County,1065,Hale County,01,065,Hale
    01067        Henry County,1067,Henry County,01,067,Henry
    01069        Houston County,1069,Houston County,01,069,Houston
    01071        Jackson County,1071,Jackson County,01,071,Jackson
    01073        Jefferson County,1073,Jefferson County,01,073,Jefferson
    01075        Lamar County,1075,Lamar County,01,075,Lamar
    01077        Lauderdale County,1077,Lauderdale County,01,077,Lauderdale
    01079        Lawrence County,1079,Lawrence County,01,079,Lawrence
    01081        Lee County,1081,Lee County,01,081,Lee
    01083        Limestone County,1083,Limestone County,01,083,Limestone
    01085        Lowndes County,1085,Lowndes County,01,085,Lowndes
    01087        Macon County,1087,Macon County,01,087,Macon
    01089        Madison County,1089,Madison County,01,089,Madison
    01091        Marengo County,1091,Marengo County,01,091,Marengo
    01093        Marion County,1093,Marion County,01,093,Marion
    01095        Marshall County,1095,Marshall County,01,095,Marshall
    01097        Mobile County,1097,Mobile County,01,097,Mobile
    01099        Monroe County,1099,Monroe County,01,099,Monroe
    01101        Montgomery County,1101,Montgomery County,01,101,Montgomery
    01103        Morgan County,1103,Morgan County,01,103,Morgan
    01105        Perry County,1105,Perry County,01,105,Perry
    01107        Pickens County,1107,Pickens County,01,107,Pickens
    01109        Pike County,1109,Pike County,01,109,Pike
    01111        Randolph County,1111,Randolph County,01,111,Randolph
    01113        Russell County,1113,Russell County,01,113,Russell
