state,county,place_name,state_fips,county_fips,fips,jan,feb,mar,apr
Alabama,Autauga,Autauga County,1,1,1001,50.4,52.6,65,63.4
Alabama,Baldwin,Baldwin County,1,3,1003,55.1,56.9,68.6,68
Alabama,Barbour,Barbour County,1,5,1005,51.8,52.7,65.8,64.2
Alabama,"Bibb ",Bibb County,1,7,1007,48.2,49.4,62.2,60.8
Alabama,Blount,Blount County,1,9,1009,46.8,47.7,59.9,58.7
Alabama,Bullock,Bullock County,1,11,1011,50.9,52.4,64.8,63.4
Alabama,Butler,Butler County,1,13,1013,51.5,53.9,66.3,64.3
Alabama,Calhoun,Calhoun County,1,15,1015,48,48.8,60.7,59.1
Alabama,Chambers,Chambers County,1,17,1017,47.9,49.2,61,60.3
Alabama,Cherokee,Cherokee County,1,19,1019,47,47.9,59.5,58
Alabama,Chilton,Chilton County,1,21,1021,48.7,50.3,62.8,61.4
Alabama,Choctaw,Choctaw County,1,23,1023,51,53.6,66.3,64
Alabama,Clarke,Clarke County,1,25,1025,51.9,53.8,66.7,64.8
Alabama,Clay,Clay County,1,27,1027,47.2,48.6,60.4,59
Alabama,Cleburne,Cleburne County,1,29,1029,47.6,48.3,60,58.4
Alabama,Coffee,Coffee County,1,31,1031,52.4,54.3,67.4,65.2
Alabama,Colbert,Colbert County,1,33,1033,45.5,45.1,57.9,57.2
Alabama,Conecuh,Conecuh County,1,35,1035,52.8,55.2,67.6,66
Alabama,Coosa,Coosa County,1,37,1037,48.2,49.9,61.8,60.8
Alabama,Covington,Covington County,1,39,1039,52.6,55.1,67.6,66.1
Alabama,Crenshaw,Crenshaw County,1,41,1041,51.1,53.4,66,64
Alabama,Cullman,Cullman County,1,43,1043,46.2,47,59.5,58.1
Alabama,Dale,Dale County,1,45,1045,53.1,54.3,67.7,65.7
Alabama,Dallas,Dallas County,1,47,1047,50.5,52.6,65.6,63.3
Alabama,DeKalb,DeKalb County,1,49,1049,45,46.2,57.4,56.6
Alabama,Elmore,Elmore County,1,51,1051,49.9,52,63.9,62.8
Alabama,Escambia,Escambia County,1,53,1053,53.9,56.1,68.3,67
Alabama,Etowah,Etowah County,1,55,1055,47.3,47.9,59.6,58.6
Alabama,Fayette,Fayette County,1,57,1057,47.8,48.5,60.7,59.8
Alabama,Franklin,Franklin County,1,59,1059,45.4,45.4,58.5,57.4
Alabama,Geneva,Geneva County,1,61,1061,54.3,55.4,68.2,67.1
Alabama,Greene,Greene County,1,63,1063,49.2,50.5,63.8,61.7
Alabama,Hale,Hale County,1,65,1065,48.8,50.1,63.7,61.5
Alabama,Henry,Henry County,1,67,1067,53.2,54.1,67.7,65.9
Alabama,Houston,Houston County,1,69,1069,54.9,55.6,68.5,67.5
Alabama,Jackson,Jackson County,1,71,1071,44.7,45.7,56.6,56.8
Alabama,Jefferson,Jefferson County,1,73,1073,48,48.5,61,60
Alabama,Lamar,Lamar County,1,75,1075,47.8,48.5,61,60.2
Alabama,Lauderdale,Lauderdale County,1,77,1077,45.6,45.1,57,56.6
Alabama,Lawrence,Lawrence County,1,79,1079,45.2,45.6,57.9,57.1
Alabama,Lee,Lee County,1,81,1081,49.3,50.7,62.7,61.7
Alabama,Limestone,Limestone County,1,83,1083,45.5,46.1,57.7,57.4
Alabama,Lowndes,Lowndes County,1,85,1085,51.4,53.7,66.2,64.3
Alabama,Macon,Macon County,1,87,1087,50.2,52,63.9,62.9
Alabama,Madison,Madison County,1,89,1089,45.3,46,57.7,57.5
Alabama,Marengo,Marengo County,1,91,1091,50.2,51.8,65.4,62.9
Alabama,Marion,Marion County,1,93,1093,46.4,46.8,59.6,58.3
Alabama,Marshall,Marshall County,1,95,1095,45.9,47.1,58.7,58
Alabama,Mobile,Mobile County,1,97,1097,54.5,56.3,68.3,67.9
Alabama,Monroe,Monroe County,1,99,1099,52.7,54.7,67.4,65.6
Alabama,Montgomery,Montgomery County,1,101,1101,51.2,53.5,65.6,64
Alabama,Morgan,Morgan County,1,103,1103,45.8,46.5,58.5,57.8
Alabama,Perry,Perry County,1,105,1105,48.9,50.6,64.1,61.8
Alabama,Pickens,Pickens County,1,107,1107,48.8,49.8,62.3,61.3
Alabama,Pike,Pike County,1,109,1109,51.3,53.2,65.9,63.9
Alabama,Randolph,Randolph County,1,111,1111,47.6,48.3,60,59.2
Alabama,Russell,Russell County,1,113,1113,51.1,52,64.3,63.2
Alabama,St. Clair,St. Clair County,1,115,1115,47.6,48.5,60.6,59.2
Alabama,Shelby,Shelby County,1,117,1117,48.1,49.1,61.4,60.1
Alabama,Sumter,Sumter County,1,119,1119,50,51.8,65,62.5
Alabama,Talladega,Talladega County,1,121,1121,47.8,49.4,61.4,59.8
Alabama,Tallapoosa,Tallapoosa County,1,123,1123,48,49.7,61.4,60.6
Alabama,Tuscaloosa,Tuscaloosa County,1,125,1125,48.7,49.5,61.9,61
Alabama,Walker,Walker County,1,127,1127,47.5,48,60.6,59.5
Alabama,Washington,Washington County,1,129,1129,52.4,54.7,67.2,65.6
Alabama,Wilcox,Wilcox County,1,131,1131,51.2,53.2,66.2,64
Alabama,Winston,Winston County,1,133,1133,45.8,46,58.8,57.5
Alaska,Aleutians East,Aleutians East Borough,2,13,2013,19.7,29.1,30.6,38
Alaska,Aleutians West,Aleutians West Census Area,2,16,2016,26.7,31.6,33.8,38.7
Alaska,Anchorage,Anchorage Borough,2,20,2020,3,17,18.1,31
Alaska,Bethel,Bethel Census Area,2,50,2050,-4.8,8.4,16.6,33.6
Alaska,Bristol Bay,Bristol Bay Borough,2,60,2060,-0.1,18,21.4,39.8
Alaska,Denali,Denali Borough,2,68,2068,-10.4,2.7,10.8,27.8
Alaska,Dillingham,Dillingham Census Area,2,70,2070,0,15.2,20.1,36.7
Alaska,Fairbanks North Star,Fairbanks North Star Borough,2,90,2090,-13.7,-1.3,9.3,29.1
Alaska,Haines,Haines Borough,2,100,2100,12.8,20.9,21.9,30.7
